date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,217.854,0.0,,217.854,1104.45,,77878.63333978647,Hubballi-Dharwad,,,
2020-01-02,235.742,0.0,,235.742,1124.77,,79050.31962498059,Hubballi-Dharwad,,,
2020-01-03,247.632,0.0,,247.632,1068.74,,84340.71990598514,Hubballi-Dharwad,,,
2020-01-04,165.875,0.0,,165.875,1068.483,,87827.05195936564,Hubballi-Dharwad,,,
2020-01-05,160.636,0.0,,160.636,1096.22,,84301.3984608553,Hubballi-Dharwad,,,
2020-01-06,228.0,0.0,,228.0,1153.895,,82602.41216754062,Hubballi-Dharwad,,,
2020-01-07,227.063,0.0,,227.063,1111.386,,77727.76095453653,Hubballi-Dharwad,,,
2020-01-08,231.499,0.0,,231.499,1120.811,,61332.25943337114,Hubballi-Dharwad,,,
2020-01-09,232.392,0.0,,232.392,1108.215,,75233.94988917955,Hubballi-Dharwad,,,
2020-01-10,83.785,0.0,,83.785,1098.962,,82664.39656215129,Hubballi-Dharwad,,,
2020-01-11,219.361,0.0,,219.361,1082.299,,87818.18147936388,Hubballi-Dharwad,,,
2020-01-12,227.927,0.0,,227.927,1079.198,,82901.32743867788,Hubballi-Dharwad,,,
2020-01-13,241.003,0.0,,241.003,1060.664,,86601.5644230409,Hubballi-Dharwad,,,
2020-01-14,247.643,0.0,,247.643,1059.354,,84951.6173392869,Hubballi-Dharwad,,,
2020-01-15,208.204,0.0,,208.204,1042.534,,85386.7017024906,Hubballi-Dharwad,,,
2020-01-16,238.099,0.0,,238.099,1065.949,,80466.80102068427,Hubballi-Dharwad,,,
2020-01-17,238.98,0.0,,238.98,1051.739,,83747.63275870317,Hubballi-Dharwad,,,
2020-01-18,226.223,0.0,,226.223,1061.455,,88023.71321073038,Hubballi-Dharwad,,,
2020-01-19,223.119,0.0,,223.119,1100.352,,85149.65081198371,Hubballi-Dharwad,,,
2020-01-20,209.789,0.0,,209.789,1085.052,,82363.8733949775,Hubballi-Dharwad,,,
2020-01-21,219.586,0.0,,219.586,1057.098,,85556.54606953202,Hubballi-Dharwad,,,
2020-01-22,218.837,0.0,,218.837,1044.877,,86966.94507174674,Hubballi-Dharwad,,,
2020-01-23,219.474,0.0,,219.474,1046.236,,83749.46442799084,Hubballi-Dharwad,,,
2020-01-24,204.491,0.0,,204.491,1042.961,,88892.86356149931,Hubballi-Dharwad,,,
2020-01-25,221.067,0.0,,221.067,1042.609,,86993.5946841758,Hubballi-Dharwad,,,
2020-01-26,189.962,0.0,,189.962,1052.298,,83618.95567040282,Hubballi-Dharwad,,,
2020-01-27,234.136,0.0,,234.136,1110.061,,83917.22036622875,Hubballi-Dharwad,,,
2020-01-28,231.533,0.0,,231.533,1104.57,,88125.69593339963,Hubballi-Dharwad,,,
2020-01-29,211.47,0.0,,211.47,1085.436,,87223.49701439725,Hubballi-Dharwad,,,
2020-01-30,218.264,0.0,,218.264,1057.102,,84719.5188218051,Hubballi-Dharwad,,,
2020-01-31,105.813,0.0,,105.813,1053.616,,83813.40924444453,Hubballi-Dharwad,,,
2020-02-01,105.813,0.0,,105.813,1062.199,,85679.59873006976,Hubballi-Dharwad,,,
2020-02-02,270.058,0.0,,270.058,1083.336,,84081.85709771437,Hubballi-Dharwad,,,
2020-02-03,253.128,0.0,,253.128,1070.876,,73422.04274843785,Hubballi-Dharwad,,,
2020-02-04,228.21,0.0,,228.21,1056.618,,86842.7252834187,Hubballi-Dharwad,,,
