date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25,industrial_scope2
2020-01-01,1242.7120041496046,1242.705,,0.0,312.256,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-02,1280.3440041496046,1252.004,,28.333,313.458,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-03,1273.1000041496047,1273.093,,0.0,323.561,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-04,1334.2780041496048,1275.361,,58.91,320.812,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-05,1294.4250041496045,1229.116,,65.302,317.312,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-06,1309.4020041496046,1237.615,,71.78,302.75,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-07,1317.1280041496047,1262.827,,54.294,300.921,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-08,1264.7610041496046,1264.754,,0.0,307.6,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-09,1238.3020041496047,1238.295,,0.0,317.469,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-10,1287.4170041496047,1219.167,,68.243,307.887,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-11,1303.9430041496046,1242.386,,61.55,299.067,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-12,1319.5960041496048,1248.006,,71.583,300.728,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-13,1330.6290041496045,1260.62,,70.002,297.798,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-14,1307.0980041496045,1242.38,,64.711,300.074,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-15,1209.1600041496047,1209.153,,0.0,296.829,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-16,1274.4490041496047,1204.299,,70.143,298.167,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-17,1331.2140041496048,1261.538,,69.669,298.654,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-18,1317.7600041496046,1255.316,,62.437,293.062,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-19,1206.0590041496046,1206.052,,0.0,292.123,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-20,1316.8920041496046,1252.573,,64.312,314.493,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-21,1278.8640041496046,1264.703,,14.154,302.661,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-22,1296.8940041496046,1231.479,,65.408,286.68,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-23,1304.1480041496047,1245.809,,58.332,288.276,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-24,1278.5310041496045,1278.524,,0.0,295.605,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-25,1362.5140041496047,1293.538,,68.969,289.691,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-26,1305.0250041496047,1232.85,,72.168,292.594,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-27,1348.5770041496046,1267.985,,80.585,300.842,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-28,1370.1330041496046,1284.141,,85.985,302.432,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-29,1377.8600041496047,1290.56,,87.293,301.031,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-30,1297.6450041496046,1297.638,,0.0,299.858,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-01-31,1333.1050041496046,1292.57,,40.528,310.21,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-01,1304.0910041496047,1263.556,,40.528,300.414,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-02,1281.2360041496047,1207.948,,73.281,295.341,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-03,1288.9210041496046,1235.447,,53.467,291.593,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-04,1341.6720041496046,1267.348,,74.317,290.581,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-05,1336.8500041496047,1267.97,,68.873,287.829,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-06,1340.0540041496047,1267.31,,72.737,289.052,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-07,1360.9970041496047,1284.005,,76.985,281.241,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-08,1324.8570041496046,1244.074,,80.776,276.811,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-09,1278.8540041496046,1216.913,,61.934,316.606,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-10,1293.9230041496046,1234.597,,59.319,291.956,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-11,1295.9140041496046,1243.032,,52.875,278.761,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-12,1323.5980041496045,1254.356,,69.235,283.566,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-13,1373.9850041496047,1298.204,,75.774,294.327,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-14,1373.3820041496047,1291.822,,81.553,293.902,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-15,1383.0210041496046,1301.461,,81.553,306.441,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-16,1333.4530041496046,1251.337,,82.109,295.774,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-17,1358.7180041496047,1282.24,,76.471,291.144,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-18,1376.0020041496045,1307.464,,68.531,290.757,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-19,1365.1020041496047,1298.881,,66.214,281.197,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-20,1276.3320041496047,1276.325,,0.0,274.356,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-21,1309.7110041496046,1233.096,,76.608,283.217,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-22,1333.2010041496046,1243.77,,89.424,282.393,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-23,1265.8400041496047,1213.77,,52.063,283.059,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-24,1343.5590041496046,1251.919,,91.633,277.487,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-25,1272.6490041496047,1272.642,,0.0,297.596,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-26,1284.9760041496047,1284.969,,0.0,311.093,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-27,1342.0230041496047,1268.449,,73.567,284.75,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-28,1329.8940041496048,1261.074,,68.813,283.742,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-02-29,1315.5970041496046,1246.777,,68.813,278.941,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-01,1291.8020041496047,1224.574,,67.221,278.543,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-02,1269.8280041496046,1257.456,,12.365,284.378,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-03,1302.2280041496047,1272.76,,29.461,287.757,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-04,1328.1040041496046,1251.032,,77.065,275.904,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-05,1227.9850041496047,1227.582,,0.396,296.21,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-06,1239.4220041496046,1228.67,,10.745,303.387,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-07,1252.4070041496047,1252.4,,0.0,313.198,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-08,1297.7440041496047,1216.322,,81.415,299.641,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-09,1277.2230041496045,1207.008,,70.208,282.155,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-10,1187.3340041496047,1109.225,,78.102,273.202,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-11,1244.1600041496047,1153.363,,90.79,271.344,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-12,1300.4600041496046,1229.352,,71.101,282.403,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-13,1312.5910041496045,1240.397,,72.187,273.978,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-14,1229.1370041496048,1229.13,,0.0,275.926,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-15,1267.8630041496046,1186.897,,80.959,276.874,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-16,1362.9950041496047,1232.604,,130.384,269.123,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-17,1351.7440041496047,1269.073,,82.664,263.633,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-18,1282.3410041496047,1269.356,,12.978,266.005,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-19,1456.1480041496047,1406.527,,49.614,267.878,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-20,1465.3310041496047,1388.808,,76.516,268.789,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-21,1479.7350041496047,1337.422,,142.306,281.217,0.0070041496047637,,Imphal,,,,0.0022195798119475
2020-03-22,1400.2710041496046,1316.061,,84.203,296.345,0.0070041496047637,,Imphal,,,,0.0022195798119475
