date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city,traffic_NOx,traffic_pm25
2020-01-01,16176.004,13743.105,,903.663,3603.085,,0.7565649121594306,Jaipur,,
2020-01-02,16147.56,13846.901,,797.19,3611.53,,0.6920051784352886,Jaipur,,
2020-01-03,16348.158,14105.326,,823.712,3597.613,,0.6801418972998807,Jaipur,,
2020-01-04,16667.155,14081.785,,861.671,3609.881,,0.7312663659671969,Jaipur,,
2020-01-05,15780.545,13555.256,,521.428,3550.125,,0.6987034580856397,Jaipur,,
2020-01-06,15315.982,13605.829,,0.0,3511.884,,0.739601030039109,Jaipur,,
2020-01-07,16184.965000000002,13895.156,,578.653,3592.36,,0.6697936676217967,Jaipur,,
2020-01-08,16449.025,13941.235,,796.991,3701.872,,0.6722782751491329,Jaipur,,
2020-01-09,16112.993,13664.845,,752.352,3431.042,,0.6340323586308935,Jaipur,,
2020-01-10,15865.003,13450.95,,862.579,3447.216,,0.6622069672987648,Jaipur,,
2020-01-11,16087.506,13695.123,,662.525,3346.202,,0.7047762688298085,Jaipur,,
2020-01-12,16317.166,13763.807,,839.782,3334.993,,0.6615002343314599,Jaipur,,
2020-01-13,16183.926,13860.583,,611.516,3547.648,,0.7223803556530727,Jaipur,,
2020-01-14,16062.96,13673.223,,775.779,3493.659,,0.633754973282695,Jaipur,,
2020-01-15,15631.52,13329.725,,605.852,3586.915,,0.7591255293623518,Jaipur,,
2020-01-16,15635.01,13332.027,,607.468,3705.12,,0.645870348930315,Jaipur,,
2020-01-17,15872.975,13968.43,,360.682,3574.542,,0.6448131902067881,Jaipur,,
2020-01-18,16491.342,13849.427,,865.812,3581.375,,0.6998952829558123,Jaipur,,
2020-01-19,15651.65,13336.615,,550.788,3402.734,,0.6808568509010913,Jaipur,,
2020-01-20,15677.785,13758.239,,156.777,3460.441,,0.6912446211572417,Jaipur,,
2020-01-21,15754.297,13943.823,,51.039,3613.659,,0.6070272585911914,Jaipur,,
2020-01-22,15441.106,13534.007,,140.552,3510.611,,0.7262260308006451,Jaipur,,
2020-01-23,16239.534,13723.258,,776.613,3256.859,,0.6395643075835616,Jaipur,,
2020-01-24,16417.597,14095.397,,719.827,3248.847,,0.6113318382725215,Jaipur,,
2020-01-25,16856.506999999998,14252.327,,814.367,3250.496,,0.7342002350192435,Jaipur,,
2020-01-26,16156.578,13601.55,,839.468,3325.357,,0.690247562886274,Jaipur,,
2020-01-27,15906.837,13938.386,,183.396,3492.568,,0.7632228206743605,Jaipur,,
2020-01-28,16451.550000000003,14116.797,,543.142,3428.227,,0.666357228219443,Jaipur,,
2020-01-29,16680.006,14169.013,,717.312,3291.969,,0.7429147258982716,Jaipur,,
2020-01-30,16777.159,14246.935,,724.03,3314.993,,0.633221612442948,Jaipur,,
2020-01-31,16610.569,14183.052,,769.693,3293.479,,0.6308315998042244,Jaipur,,
2020-02-01,16507.241,13921.464,,769.693,3294.301,,0.6661798820915099,Jaipur,,
2020-02-02,16046.103,13284.955,,965.039,3302.433,,0.6349369531039057,Jaipur,,
2020-02-03,16335.224,13644.172,,898.08,3275.308,,0.635006919398756,Jaipur,,
2020-02-04,16575.511000000002,13947.62,,827.229,3387.341,,0.5822588305369972,Jaipur,,
2020-02-05,16725.971999999998,13940.992,,984.073,3283.311,,0.6978750270286519,Jaipur,,
2020-02-06,16671.242,13956.713,,905.423,3257.599,,0.5726261459638515,Jaipur,,
2020-02-07,16154.813,14159.36,,351.65,3275.631,,0.6031953727875999,Jaipur,,
2020-02-08,16348.469,13704.102,,827.654,3267.59,,0.6780838824094254,Jaipur,,
