date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,,3260.824,,0.0,1311.565,,,Jalandhar,,,
2020-01-02,,3284.856,,0.0,1271.679,,,Jalandhar,,,
2020-01-03,,3351.013,,263.157,1255.626,,,Jalandhar,,,
2020-01-04,,3344.405,,254.423,1264.0,,,Jalandhar,,,
2020-01-05,,3219.059,,0.0,1237.368,,,Jalandhar,,,
2020-01-06,,3221.302,,0.0,1300.647,,,Jalandhar,,,
2020-01-07,,3286.814,,171.652,1327.709,,,Jalandhar,,,
2020-01-08,,3291.136,,0.0,1305.303,,,Jalandhar,,,
2020-01-09,,3236.178,,254.391,1293.314,,,Jalandhar,,,
2020-01-10,,3190.362,,273.577,1257.303,,,Jalandhar,,,
2020-01-11,,3234.87,,0.0,1238.205,,,Jalandhar,,,
2020-01-12,,3252.665,,0.0,1234.779,,,Jalandhar,,,
2020-01-13,,3271.439,,0.0,1307.575,,,Jalandhar,,,
2020-01-14,,3237.603,,234.332,1278.882,,,Jalandhar,,,
2020-01-15,,3160.687,,234.856,1284.353,,,Jalandhar,,,
2020-01-16,,3158.278,,0.0,1283.147,,,Jalandhar,,,
2020-01-17,,3306.951,,287.053,1285.99,,,Jalandhar,,,
2020-01-18,,3278.988,,317.798,1301.103,,,Jalandhar,,,
2020-01-19,,3155.723,,184.042,1288.708,,,Jalandhar,,,
2020-01-20,,3261.089,,24.411,1239.671,,,Jalandhar,,,
2020-01-21,,3297.537,,228.702,1236.019,,,Jalandhar,,,
2020-01-22,,3203.191,,244.596,1228.819,,,Jalandhar,,,
2020-01-23,,3246.442,,304.936,1240.399,,,Jalandhar,,,
2020-01-24,,3336.846,,289.178,1225.88,,,Jalandhar,,,
2020-01-25,,3374.211,,51.893,1256.657,,,Jalandhar,,,
2020-01-26,,3214.353,,252.521,1266.211,,,Jalandhar,,,
2020-01-27,,3301.876,,0.0,1272.147,,,Jalandhar,,,
2020-01-28,,3345.015,,2.709,1320.917,,,Jalandhar,,,
2020-01-29,,3357.843,,241.609,1319.683,,,Jalandhar,,,
2020-01-30,,3378.81,,278.209,1293.906,,,Jalandhar,,,
2020-01-31,,3363.787,,289.784,1272.875,,,Jalandhar,,,
2020-02-01,,3307.65,,289.784,1274.932,,,Jalandhar,,,
2020-02-02,,3153.891,,296.752,1277.772,,,Jalandhar,,,
2020-02-03,,3238.284,,310.898,1241.963,,,Jalandhar,,,
2020-02-04,,3312.89,,0.0,1268.474,,,Jalandhar,,,
2020-02-05,,3311.822,,284.962,1260.684,,,Jalandhar,,,
2020-02-06,,3309.664,,282.436,1236.689,,,Jalandhar,,,
2020-02-07,,3354.578,,337.431,1250.49,,,Jalandhar,,,
2020-02-08,,3244.381,,331.896,1251.911,,,Jalandhar,,,
2020-02-09,,3173.851,,314.773,1255.657,,,Jalandhar,,,
2020-02-10,,3228.445,,257.16,1249.428,,,Jalandhar,,,
2020-02-11,,3252.434,,0.0,1257.4,,,Jalandhar,,,
2020-02-12,,3290.62,,262.336,1248.799,,,Jalandhar,,,
2020-02-13,,3406.267,,2.296,1239.361,,,Jalandhar,,,
2020-02-14,,3385.439,,279.852,1221.69,,,Jalandhar,,,
2020-02-15,,3406.058,,279.852,1212.789,,,Jalandhar,,,
2020-02-16,,3264.159,,269.156,1222.049,,,Jalandhar,,,
2020-02-17,,3348.719,,267.326,1210.849,,,Jalandhar,,,
2020-02-18,,3417.677,,296.21,1216.119,,,Jalandhar,,,
2020-02-19,,3376.094,,0.0,1156.785,,,Jalandhar,,,
2020-02-20,,3314.381,,208.329,1222.581,,,Jalandhar,,,
2020-02-21,,3205.895,,244.94,1252.278,,,Jalandhar,,,
2020-02-22,,3239.241,,284.029,1246.057,,,Jalandhar,,,
2020-02-23,,3161.174,,296.445,1251.464,,,Jalandhar,,,
2020-02-24,,3261.983,,318.452,1226.033,,,Jalandhar,,,
2020-02-25,,3321.454,,304.146,1208.224,,,Jalandhar,,,
2020-02-26,,3356.753,,93.734,1216.474,,,Jalandhar,,,
2020-02-27,,3309.348,,0.0,1216.116,,,Jalandhar,,,
2020-02-28,,3285.771,,236.002,1235.242,,,Jalandhar,,,
2020-02-29,,3242.95,,0.0,1252.128,,,Jalandhar,,,
2020-03-01,,3204.257,,313.135,1241.793,,,Jalandhar,,,
2020-03-02,,3268.174,,294.308,1224.878,,,Jalandhar,,,
2020-03-03,,3312.506,,178.079,1209.809,,,Jalandhar,,,
2020-03-04,,3261.539,,119.63,1182.664,,,Jalandhar,,,
2020-03-05,,3192.094,,0.0,1233.008,,,Jalandhar,,,
2020-03-06,,3196.384,,0.0,1279.682,,,Jalandhar,,,
2020-03-07,,3265.043,,8.73,1288.579,,,Jalandhar,,,
2020-03-08,,3169.634,,259.25,1232.022,,,Jalandhar,,,
2020-03-09,,3139.622,,237.594,1203.921,,,Jalandhar,,,
2020-03-10,,2886.286,,4.64,1182.559,,,Jalandhar,,,
2020-03-11,,3004.692,,0.0,1248.021,,,Jalandhar,,,
2020-03-12,,3185.635,,281.073,1249.007,,,Jalandhar,,,
2020-03-13,,3217.891,,312.305,1202.856,,,Jalandhar,,,
2020-03-14,,3194.702,,312.305,1266.899,,,Jalandhar,,,
2020-03-15,,3098.398,,227.507,1213.053,,,Jalandhar,,,
2020-03-16,,3212.18,,2.623,1213.159,,,Jalandhar,,,
2020-03-17,,3309.286,,301.3,1202.883,,,Jalandhar,,,
2020-03-18,,3312.192,,307.339,1216.638,,,Jalandhar,,,
2020-03-19,,3685.525,,263.415,1233.522,,,Jalandhar,,,
2020-03-20,,3641.398,,0.0,1213.165,,,Jalandhar,,,
2020-03-21,,3492.729,,199.319,1257.322,,,Jalandhar,,,
2020-03-22,,3442.784,,259.706,1212.137,,,Jalandhar,,,
2020-03-23,,3366.459,,279.667,1203.5,,,Jalandhar,,,
2020-03-24,,3506.802,,0.0,1230.782,,,Jalandhar,,,
2020-03-25,,3632.507,,169.237,1225.323,,,Jalandhar,,,
2020-03-26,,3696.63,,0.0,1206.174,,,Jalandhar,,,
2020-03-27,,3673.765,,0.011,1306.516,,,Jalandhar,,,
2020-03-28,,3654.371,,258.049,1247.576,,,Jalandhar,,,
2020-03-29,,3531.64,,232.672,1198.361,,,Jalandhar,,,
2020-03-30,,3451.424,,0.0,1201.351,,,Jalandhar,,,
2020-03-31,,3428.934,,0.0,1186.537,,,Jalandhar,,,
2020-04-01,,3591.919,,248.411,1146.554,,,Jalandhar,,,
2020-04-02,,3671.734,,266.701,1136.637,,,Jalandhar,,,
2020-04-03,,3693.279,,249.994,1155.189,,,Jalandhar,,,
2020-04-04,,3670.619,,169.246,1151.234,,,Jalandhar,,,
2020-04-05,,3525.296,,0.0,1135.851,,,Jalandhar,,,
2020-04-06,,3707.242,,259.649,1159.766,,,Jalandhar,,,
2020-04-07,,3735.135,,0.0,1177.178,,,Jalandhar,,,
2020-04-08,,3723.937,,273.879,1149.898,,,Jalandhar,,,
2020-04-09,,3736.36,,0.0,1129.315,,,Jalandhar,,,
2020-04-10,,3765.867,,193.773,1111.341,,,Jalandhar,,,
2020-04-11,,3670.121,,261.889,1134.908,,,Jalandhar,,,
2020-04-12,,3612.199,,270.821,1135.392,,,Jalandhar,,,
2020-04-13,,3817.79,,273.846,1165.553,,,Jalandhar,,,
2020-04-14,,3740.467,,192.185,1163.225,,,Jalandhar,,,
2020-04-15,,3728.667,,279.707,1143.618,,,Jalandhar,,,
2020-04-16,,3604.509,,0.0,1140.061,,,Jalandhar,,,
2020-04-17,,3587.884,,0.133,1133.549,,,Jalandhar,,,
2020-04-18,,3549.622,,282.223,1155.183,,,Jalandhar,,,
2020-04-19,,3421.598,,260.0,1122.329,,,Jalandhar,,,
2020-04-20,,3684.724,,124.215,1161.065,,,Jalandhar,,,
2020-04-21,,3687.241,,0.0,1128.524,,,Jalandhar,,,
2020-04-22,,3584.967,,286.344,1107.61,,,Jalandhar,,,
2020-04-23,,3645.256,,284.122,1114.643,,,Jalandhar,,,
