date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,0.0,0.0,,0.0,547.997,,,Jalpaiguri,,,
2020-01-02,0.0,0.0,,0.0,564.459,,,Jalpaiguri,,,
2020-01-03,124.099,0.0,,124.099,597.41,,,Jalpaiguri,,,
2020-01-04,0.0,0.0,,0.0,611.537,,,Jalpaiguri,,,
2020-01-05,0.0,0.0,,0.0,600.116,,,Jalpaiguri,,,
2020-01-06,2.077,0.0,,2.077,600.546,,,Jalpaiguri,,,
2020-01-07,0.0,0.0,,0.0,577.793,,,Jalpaiguri,,,
2020-01-08,16.492,0.0,,16.492,578.593,,,Jalpaiguri,,,
2020-01-09,80.543,0.0,,80.543,592.147,,,Jalpaiguri,,,
2020-01-10,146.645,0.0,,146.645,605.363,,,Jalpaiguri,,,
2020-01-11,138.998,0.0,,138.998,599.688,,,Jalpaiguri,,,
2020-01-12,138.998,0.0,,138.998,594.469,,,Jalpaiguri,,,
2020-01-13,118.886,0.0,,118.886,581.435,,,Jalpaiguri,,,
2020-01-14,125.352,0.0,,125.352,587.923,,,Jalpaiguri,,,
2020-01-15,142.082,0.0,,142.082,593.6,,,Jalpaiguri,,,
2020-01-16,148.472,0.0,,148.472,589.065,,,Jalpaiguri,,,
2020-01-17,68.185,0.0,,68.185,592.147,,,Jalpaiguri,,,
2020-01-18,161.131,0.0,,161.131,596.447,,,Jalpaiguri,,,
2020-01-19,145.171,0.0,,145.171,607.58,,,Jalpaiguri,,,
2020-01-20,20.723,0.0,,20.723,588.651,,,Jalpaiguri,,,
2020-01-21,0.0,0.0,,0.0,585.525,,,Jalpaiguri,,,
2020-01-22,138.685,0.0,,138.685,601.234,,,Jalpaiguri,,,
2020-01-23,0.0,0.0,,0.0,596.628,,,Jalpaiguri,,,
2020-01-24,195.401,0.0,,195.401,595.27,,,Jalpaiguri,,,
2020-01-25,24.534,0.0,,24.534,574.287,,,Jalpaiguri,,,
2020-01-26,145.687,0.0,,145.687,576.951,,,Jalpaiguri,,,
2020-01-27,145.187,0.0,,145.187,563.079,,,Jalpaiguri,,,
2020-01-28,172.606,0.0,,172.606,571.971,,,Jalpaiguri,,,
2020-01-29,0.0,0.0,,0.0,575.821,,,Jalpaiguri,,,
2020-01-30,1.063,0.0,,1.063,602.069,,,Jalpaiguri,,,
2020-01-31,199.942,0.0,,199.942,595.411,,,Jalpaiguri,,,
2020-02-01,199.942,0.0,,199.942,586.657,,,Jalpaiguri,,,
2020-02-02,136.498,0.0,,136.498,566.51,,,Jalpaiguri,,,
2020-02-03,0.0,0.0,,0.0,558.264,,,Jalpaiguri,,,
2020-02-04,167.08,0.0,,167.08,559.207,,,Jalpaiguri,,,
2020-02-05,0.0,0.0,,0.0,543.139,,,Jalpaiguri,,,
2020-02-06,167.939,0.0,,167.939,553.122,,,Jalpaiguri,,,
2020-02-07,154.438,0.0,,154.438,552.922,,,Jalpaiguri,,,
2020-02-08,0.0,0.0,,0.0,545.544,,,Jalpaiguri,,,
2020-02-09,0.0,0.0,,0.0,540.451,,,Jalpaiguri,,,
2020-02-10,0.479,0.0,,0.479,544.113,,,Jalpaiguri,,,
2020-02-11,132.815,0.0,,132.815,538.347,,,Jalpaiguri,,,
2020-02-12,147.144,0.0,,147.144,536.288,,,Jalpaiguri,,,
2020-02-13,160.617,0.0,,160.617,535.655,,,Jalpaiguri,,,
2020-02-14,0.0,0.0,,0.0,546.633,,,Jalpaiguri,,,
2020-02-15,0.0,0.0,,0.0,573.691,,,Jalpaiguri,,,
2020-02-16,0.0,0.0,,0.0,559.239,,,Jalpaiguri,,,
2020-02-17,0.0,0.0,,0.0,562.98,,,Jalpaiguri,,,
2020-02-18,0.0,0.0,,0.0,564.893,,,Jalpaiguri,,,
2020-02-19,0.0,0.0,,0.0,576.549,,,Jalpaiguri,,,
2020-02-20,0.0,0.0,,0.0,575.937,,,Jalpaiguri,,,
2020-02-21,173.924,0.0,,173.924,561.894,,,Jalpaiguri,,,
2020-02-22,0.0,0.0,,0.0,554.352,,,Jalpaiguri,,,
2020-02-23,129.835,0.0,,129.835,550.107,,,Jalpaiguri,,,
2020-02-24,0.0,0.0,,0.0,567.512,,,Jalpaiguri,,,
2020-02-25,0.0,0.0,,0.0,597.409,,,Jalpaiguri,,,
2020-02-26,74.782,0.0,,74.782,610.309,,,Jalpaiguri,,,
2020-02-27,126.658,0.0,,126.658,579.178,,,Jalpaiguri,,,
2020-02-28,119.335,0.0,,119.335,557.519,,,Jalpaiguri,,,
2020-02-29,119.335,0.0,,119.335,564.143,,,Jalpaiguri,,,
2020-03-01,31.631,0.0,,31.631,563.101,,,Jalpaiguri,,,
2020-03-02,46.036,0.0,,46.036,572.15,,,Jalpaiguri,,,
2020-03-03,142.664,0.0,,142.664,599.239,,,Jalpaiguri,,,
2020-03-04,136.749,0.0,,136.749,589.865,,,Jalpaiguri,,,
2020-03-05,126.213,0.0,,126.213,568.886,,,Jalpaiguri,,,
2020-03-06,0.0,0.0,,0.0,598.339,,,Jalpaiguri,,,
2020-03-07,143.696,0.0,,143.696,619.479,,,Jalpaiguri,,,
2020-03-08,139.514,0.0,,139.514,581.75,,,Jalpaiguri,,,
2020-03-09,157.108,0.0,,157.108,574.097,,,Jalpaiguri,,,
2020-03-10,148.383,0.0,,148.383,571.757,,,Jalpaiguri,,,
2020-03-11,0.0,0.0,,0.0,565.241,,,Jalpaiguri,,,
2020-03-12,0.0,0.0,,0.0,573.911,,,Jalpaiguri,,,
2020-03-13,0.0,0.0,,0.0,579.717,,,Jalpaiguri,,,
2020-03-14,0.0,0.0,,0.0,641.06,,,Jalpaiguri,,,
2020-03-15,121.431,0.0,,121.431,586.005,,,Jalpaiguri,,,
2020-03-16,138.998,0.0,,138.998,534.34,,,Jalpaiguri,,,
2020-03-17,0.0,0.0,,0.0,544.274,,,Jalpaiguri,,,
2020-03-18,25.799,0.0,,25.799,547.121,,,Jalpaiguri,,,
2020-03-19,148.275,0.0,,148.275,550.86,,,Jalpaiguri,,,
2020-03-20,136.339,0.0,,136.339,550.549,,,Jalpaiguri,,,
2020-03-21,134.703,0.0,,134.703,563.467,,,Jalpaiguri,,,
2020-03-22,160.507,0.0,,160.507,595.042,,,Jalpaiguri,,,
2020-03-23,142.264,0.0,,142.264,554.637,,,Jalpaiguri,,,
2020-03-24,146.702,0.0,,146.702,542.016,,,Jalpaiguri,,,
2020-03-25,154.35,0.0,,154.35,550.363,,,Jalpaiguri,,,
2020-03-26,165.298,0.0,,165.298,574.995,,,Jalpaiguri,,,
2020-03-27,0.0,0.0,,0.0,577.287,,,Jalpaiguri,,,
2020-03-28,0.0,0.0,,0.0,566.567,,,Jalpaiguri,,,
2020-03-29,151.363,0.0,,151.363,555.8,,,Jalpaiguri,,,
2020-03-30,149.868,0.0,,149.868,548.75,,,Jalpaiguri,,,
2020-03-31,141.039,0.0,,141.039,557.864,,,Jalpaiguri,,,
2020-04-01,165.845,0.0,,165.845,558.661,,,Jalpaiguri,,,
2020-04-02,0.0,0.0,,0.0,555.716,,,Jalpaiguri,,,
2020-04-03,0.0,0.0,,0.0,561.137,,,Jalpaiguri,,,
2020-04-04,156.053,0.0,,156.053,554.602,,,Jalpaiguri,,,
2020-04-05,151.331,0.0,,151.331,555.118,,,Jalpaiguri,,,
2020-04-06,151.643,0.0,,151.643,561.143,,,Jalpaiguri,,,
2020-04-07,0.0,0.0,,0.0,563.107,,,Jalpaiguri,,,
2020-04-08,149.089,0.0,,149.089,563.503,,,Jalpaiguri,,,
2020-04-09,209.711,0.0,,209.711,569.946,,,Jalpaiguri,,,
2020-04-10,140.619,0.0,,140.619,563.068,,,Jalpaiguri,,,
2020-04-11,130.981,0.0,,130.981,573.379,,,Jalpaiguri,,,
2020-04-12,176.063,0.0,,176.063,565.175,,,Jalpaiguri,,,
2020-04-13,165.509,0.0,,165.509,561.844,,,Jalpaiguri,,,
2020-04-14,1.045,0.0,,1.045,579.629,,,Jalpaiguri,,,
2020-04-15,0.0,0.0,,0.0,600.545,,,Jalpaiguri,,,
2020-04-16,135.314,0.0,,135.314,621.979,,,Jalpaiguri,,,
2020-04-17,163.703,0.0,,163.703,608.621,,,Jalpaiguri,,,
2020-04-18,154.315,0.0,,154.315,615.977,,,Jalpaiguri,,,
2020-04-19,138.998,0.0,,138.998,622.398,,,Jalpaiguri,,,
2020-04-20,0.0,0.0,,0.0,617.432,,,Jalpaiguri,,,
2020-04-21,0.0,0.0,,0.0,618.674,,,Jalpaiguri,,,
2020-04-22,117.91,0.0,,117.91,612.621,,,Jalpaiguri,,,
2020-04-23,0.0,0.0,,0.0,611.055,,,Jalpaiguri,,,
2020-04-24,136.258,0.0,,136.258,623.229,,,Jalpaiguri,,,
2020-04-25,0.0,0.0,,0.0,599.121,,,Jalpaiguri,,,
2020-04-26,164.649,0.0,,164.649,598.086,,,Jalpaiguri,,,
2020-04-27,8.853,0.0,,8.853,608.525,,,Jalpaiguri,,,
2020-04-28,0.0,0.0,,0.0,621.703,,,Jalpaiguri,,,
2020-04-29,135.757,0.0,,135.757,617.767,,,Jalpaiguri,,,
2020-04-30,145.281,0.0,,145.281,619.864,,,Jalpaiguri,,,
2020-05-01,141.411,0.0,,141.411,621.868,,,Jalpaiguri,,,
2020-05-02,135.578,0.0,,135.578,618.599,,,Jalpaiguri,,,
2020-05-03,129.779,0.0,,129.779,618.389,,,Jalpaiguri,,,
2020-05-04,0.0,0.0,,0.0,626.624,,,Jalpaiguri,,,
2020-05-05,0.0,0.0,,0.0,629.78,,,Jalpaiguri,,,
2020-05-06,142.082,0.0,,142.082,622.963,,,Jalpaiguri,,,
2020-05-07,131.05,0.0,,131.05,626.052,,,Jalpaiguri,,,
2020-05-08,120.528,0.0,,120.528,604.621,,,Jalpaiguri,,,
2020-05-09,131.979,0.0,,131.979,599.57,,,Jalpaiguri,,,
2020-05-10,125.258,0.0,,125.258,598.656,,,Jalpaiguri,,,
2020-05-11,0.0,0.0,,0.0,614.2,,,Jalpaiguri,,,
2020-05-12,150.28,0.0,,150.28,619.109,,,Jalpaiguri,,,
2020-05-13,81.938,0.0,,81.938,626.919,,,Jalpaiguri,,,
2020-05-14,155.721,0.0,,155.721,635.024,,,Jalpaiguri,,,
2020-05-15,127.179,0.0,,127.179,623.737,,,Jalpaiguri,,,
2020-05-16,0.0,0.0,,0.0,640.45,,,Jalpaiguri,,,
2020-05-17,95.392,0.0,,95.392,630.65,,,Jalpaiguri,,,
2020-05-18,153.916,0.0,,153.916,628.632,,,Jalpaiguri,,,
2020-05-19,0.0,0.0,,0.0,629.589,,,Jalpaiguri,,,
2020-05-20,0.0,0.0,,0.0,641.81,,,Jalpaiguri,,,
2020-05-21,0.0,0.0,,0.0,643.47,,,Jalpaiguri,,,
2020-05-22,0.0,0.0,,0.0,644.41,,,Jalpaiguri,,,
2020-05-23,119.49,0.0,,119.49,640.843,,,Jalpaiguri,,,
2020-05-24,0.0,0.0,,0.0,652.927,,,Jalpaiguri,,,
2020-05-25,217.572,0.0,,217.572,650.266,,,Jalpaiguri,,,
2020-05-26,376.14,0.0,,376.14,644.763,,,Jalpaiguri,,,
2020-05-27,0.0,0.0,,0.0,611.119,,,Jalpaiguri,,,
2020-05-28,129.321,0.0,,129.321,618.886,,,Jalpaiguri,,,
2020-05-29,157.674,0.0,,157.674,631.938,,,Jalpaiguri,,,
2020-05-30,146.247,0.0,,146.247,638.981,,,Jalpaiguri,,,
2020-05-31,133.036,0.0,,133.036,633.943,,,Jalpaiguri,,,
2020-06-01,0.0,0.0,,0.0,642.734,,,Jalpaiguri,,,
2020-06-02,0.0,0.0,,0.0,636.054,,,Jalpaiguri,,,
2020-06-03,37.552,0.0,,37.552,646.242,,,Jalpaiguri,,,
2020-06-04,0.0,0.0,,0.0,655.948,,,Jalpaiguri,,,
2020-06-05,0.0,0.0,,0.0,651.641,,,Jalpaiguri,,,
2020-06-06,0.0,0.0,,0.0,653.075,,,Jalpaiguri,,,
2020-06-07,127.879,0.0,,127.879,646.17,,,Jalpaiguri,,,
2020-06-08,132.669,0.0,,132.669,648.525,,,Jalpaiguri,,,
2020-06-09,145.433,0.0,,145.433,651.083,,,Jalpaiguri,,,
2020-06-10,130.565,0.0,,130.565,652.295,,,Jalpaiguri,,,
2020-06-11,123.554,0.0,,123.554,654.815,,,Jalpaiguri,,,
2020-06-12,78.563,0.0,,78.563,658.641,,,Jalpaiguri,,,
2020-06-13,0.0,0.0,,0.0,664.563,,,Jalpaiguri,,,
2020-06-14,116.08,0.0,,116.08,663.802,,,Jalpaiguri,,,
2020-06-15,111.197,0.0,,111.197,660.171,,,Jalpaiguri,,,
2020-06-16,0.0,0.0,,0.0,664.009,,,Jalpaiguri,,,
2020-06-17,126.64,0.0,,126.64,660.207,,,Jalpaiguri,,,
2020-06-18,0.0,0.0,,0.0,667.527,,,Jalpaiguri,,,
2020-06-19,10.404,0.0,,10.404,661.938,,,Jalpaiguri,,,
2020-06-20,0.0,0.0,,0.0,658.116,,,Jalpaiguri,,,
2020-06-21,0.0,0.0,,0.0,657.787,,,Jalpaiguri,,,
