date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,3530.296,3530.296,,0.0,1029.006,,,Jammu,,,
2020-01-02,3578.9519999999998,3558.031,,20.921,998.293,,,Jammu,,,
2020-01-03,3753.426,3626.591,,126.835,1018.73,,,Jammu,,,
2020-01-04,3622.38,3622.38,,0.0,1068.978,,,Jammu,,,
2020-01-05,3484.8,3484.8,,0.0,1029.204,,,Jammu,,,
2020-01-06,3489.941,3489.941,,0.0,1106.009,,,Jammu,,,
2020-01-07,3566.095,3566.095,,0.0,1139.993,,,Jammu,,,
2020-01-08,3835.903,3575.506,,260.397,1147.85,,,Jammu,,,
2020-01-09,3639.204,3506.775,,132.429,1045.954,,,Jammu,,,
2020-01-10,3638.818,3454.578,,184.24,1000.656,,,Jammu,,,
2020-01-11,3509.265,3509.265,,0.0,1015.734,,,Jammu,,,
2020-01-12,3527.154,3527.154,,0.0,1060.677,,,Jammu,,,
2020-01-13,3552.151,3552.151,,0.0,1143.367,,,Jammu,,,
2020-01-14,3514.1,3509.774,,4.326,1079.799,,,Jammu,,,
2020-01-15,3715.147,3423.541,,291.606,1061.758,,,Jammu,,,
2020-01-16,3420.1279999999997,3420.057,,0.071,1038.203,,,Jammu,,,
2020-01-17,3789.144,3581.432,,207.712,1084.902,,,Jammu,,,
2020-01-18,3697.434,3553.608,,143.826,1091.917,,,Jammu,,,
2020-01-19,3673.357,3420.727,,252.63,1010.795,,,Jammu,,,
2020-01-20,3687.846,3537.993,,149.853,1003.53,,,Jammu,,,
2020-01-21,3693.952,3579.155,,114.797,1084.724,,,Jammu,,,
2020-01-22,3721.865,3477.899,,243.966,1029.046,,,Jammu,,,
2020-01-23,3792.211,3524.093,,268.118,1003.328,,,Jammu,,,
2020-01-24,3663.193,3622.056,,41.137,990.577,,,Jammu,,,
2020-01-25,3765.763,3662.555,,103.208,1052.003,,,Jammu,,,
2020-01-26,3748.116,3490.713,,257.403,1050.393,,,Jammu,,,
2020-01-27,3585.136,3585.136,,0.0,1045.439,,,Jammu,,,
2020-01-28,3631.251,3631.251,,0.0,1139.251,,,Jammu,,,
2020-01-29,3720.455,3646.174,,74.281,1123.202,,,Jammu,,,
2020-01-30,3927.153,3669.046,,258.107,1074.002,,,Jammu,,,
2020-01-31,3940.7580000000003,3648.483,,292.275,1091.342,,,Jammu,,,
2020-02-01,3876.043,3583.768,,292.275,1067.02,,,Jammu,,,
2020-02-02,3625.58,3421.986,,203.594,1040.096,,,Jammu,,,
2020-02-03,3673.704,3512.5,,161.204,1023.19,,,Jammu,,,
2020-02-04,3593.445,3593.445,,0.0,1086.505,,,Jammu,,,
2020-02-05,3764.367,3592.96,,171.407,1029.745,,,Jammu,,,
2020-02-06,3840.2729999999997,3590.919,,249.354,1060.324,,,Jammu,,,
2020-02-07,3922.525,3638.402,,284.123,1042.66,,,Jammu,,,
2020-02-08,3819.297,3521.779,,297.518,1026.28,,,Jammu,,,
2020-02-09,3718.931,3446.504,,272.427,1028.849,,,Jammu,,,
2020-02-10,3504.335,3501.877,,2.458,1041.906,,,Jammu,,,
2020-02-11,3525.888,3525.888,,0.0,1027.927,,,Jammu,,,
2020-02-12,3725.0519999999997,3565.365,,159.687,1040.586,,,Jammu,,,
2020-02-13,3692.2200000000003,3690.739,,1.481,1056.402,,,Jammu,,,
2020-02-14,3937.151,3669.295,,267.856,1039.247,,,Jammu,,,
2020-02-15,3961.384,3693.528,,267.856,1026.209,,,Jammu,,,
2020-02-16,3729.017,3544.33,,184.687,1029.545,,,Jammu,,,
2020-02-17,3906.9390000000003,3634.472,,272.467,1000.133,,,Jammu,,,
2020-02-18,3868.332,3706.247,,162.085,1013.394,,,Jammu,,,
2020-02-19,3667.458,3667.458,,0.0,953.068,,,Jammu,,,
2020-02-20,3601.748,3601.748,,0.0,1009.148,,,Jammu,,,
2020-02-21,3756.453,3480.571,,275.882,1023.821,,,Jammu,,,
2020-02-22,3704.849,3515.998,,188.851,1041.982,,,Jammu,,,
2020-02-23,3698.545,3432.843,,265.702,1024.393,,,Jammu,,,
2020-02-24,3842.3450000000003,3542.902,,299.443,1003.058,,,Jammu,,,
2020-02-25,3885.499,3605.725,,279.774,979.08,,,Jammu,,,
2020-02-26,3943.0190000000002,3641.63,,301.389,997.559,,,Jammu,,,
2020-02-27,3850.199,3590.839,,259.36,1009.168,,,Jammu,,,
2020-02-28,3564.938,3564.904,,0.034,1011.739,,,Jammu,,,
2020-02-29,3522.448,3521.263,,1.185,1009.223,,,Jammu,,,
2020-03-01,3764.166,3476.569,,287.597,1009.907,,,Jammu,,,
