date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,2886.978,2824.866,,62.112,743.184,,,Jhansi,,,
2020-01-02,2854.6110000000003,2840.744,,13.867,760.371,,,Jhansi,,,
2020-01-03,3042.965,2883.06,,159.905,752.591,,,Jhansi,,,
2020-01-04,3026.518,2882.936,,143.582,742.625,,,Jhansi,,,
2020-01-05,2947.3509999999997,2770.189,,177.162,728.317,,,Jhansi,,,
2020-01-06,2791.792,2784.388,,7.404,704.146,,,Jhansi,,,
2020-01-07,2902.334,2839.336,,62.998,695.021,,,Jhansi,,,
2020-01-08,3044.536,2853.839,,190.697,754.29,,,Jhansi,,,
2020-01-09,2937.601,2788.762,,148.839,707.872,,,Jhansi,,,
2020-01-10,2898.775,2751.242,,147.533,708.512,,,Jhansi,,,
2020-01-11,2981.892,2799.144,,182.748,706.439,,,Jhansi,,,
2020-01-12,2926.871,2809.936,,116.935,709.958,,,Jhansi,,,
2020-01-13,2996.358,2838.237,,158.121,698.278,,,Jhansi,,,
2020-01-14,2805.212,2805.207,,0.005,741.056,,,Jhansi,,,
2020-01-15,2728.166,2728.166,,0.0,774.434,,,Jhansi,,,
2020-01-16,2798.3849999999998,2696.72,,101.665,799.7,,,Jhansi,,,
2020-01-17,3006.877,2845.499,,161.378,744.387,,,Jhansi,,,
2020-01-18,2982.073,2832.663,,149.41,743.475,,,Jhansi,,,
2020-01-19,2879.7129999999997,2723.417,,156.296,732.526,,,Jhansi,,,
2020-01-20,2798.309,2798.309,,0.0,725.075,,,Jhansi,,,
2020-01-21,2992.357,2840.994,,151.363,736.289,,,Jhansi,,,
2020-01-22,2920.522,2763.055,,157.467,732.941,,,Jhansi,,,
2020-01-23,2934.541,2788.592,,145.949,685.295,,,Jhansi,,,
2020-01-24,3003.44,2864.476,,138.964,686.5,,,Jhansi,,,
2020-01-25,3045.712,2892.43,,153.282,692.007,,,Jhansi,,,
2020-01-26,2914.96,2765.853,,149.107,713.112,,,Jhansi,,,
2020-01-27,2897.3010000000004,2825.963,,71.338,696.194,,,Jhansi,,,
2020-01-28,2931.991,2871.158,,60.833,713.328,,,Jhansi,,,
2020-01-29,3039.492,2877.146,,162.346,714.376,,,Jhansi,,,
2020-01-30,3046.436,2891.958,,154.478,688.52,,,Jhansi,,,
2020-01-31,3033.174,2883.635,,149.539,699.548,,,Jhansi,,,
2020-02-01,2972.853,2823.314,,149.539,698.745,,,Jhansi,,,
2020-02-02,2861.5600000000004,2702.952,,158.608,681.267,,,Jhansi,,,
2020-02-03,2917.074,2771.603,,145.471,681.188,,,Jhansi,,,
2020-02-04,3005.888,2838.674,,167.214,708.367,,,Jhansi,,,
2020-02-05,3010.426,2839.272,,171.154,698.483,,,Jhansi,,,
2020-02-06,3009.826,2837.306,,172.52,703.616,,,Jhansi,,,
2020-02-07,3044.222,2880.547,,163.675,711.237,,,Jhansi,,,
2020-02-08,2954.641,2802.565,,152.076,688.804,,,Jhansi,,,
2020-02-09,2888.619,2730.498,,158.121,692.391,,,Jhansi,,,
2020-02-10,2940.7709999999997,2779.24,,161.531,691.957,,,Jhansi,,,
2020-02-11,2973.527,2811.003,,162.524,686.881,,,Jhansi,,,
2020-02-12,2990.4730000000004,2826.789,,163.684,678.401,,,Jhansi,,,
2020-02-13,2951.307,2917.464,,33.843,650.399,,,Jhansi,,,
2020-02-14,3044.391,2886.84,,157.551,647.945,,,Jhansi,,,
2020-02-15,3066.83,2909.279,,157.551,651.106,,,Jhansi,,,
2020-02-16,2938.052,2803.56,,134.492,652.593,,,Jhansi,,,
2020-02-17,3011.77,2872.359,,139.411,657.223,,,Jhansi,,,
2020-02-18,2952.959,2936.354,,16.605,650.131,,,Jhansi,,,
2020-02-19,3076.577,2915.192,,161.385,645.691,,,Jhansi,,,
2020-02-20,3044.443,2863.574,,180.869,644.885,,,Jhansi,,,
2020-02-21,2904.359,2742.269,,162.09,652.432,,,Jhansi,,,
2020-02-22,2970.332,2779.642,,190.69,719.697,,,Jhansi,,,
2020-02-23,2861.755,2704.652,,157.103,702.815,,,Jhansi,,,
2020-02-24,2970.187,2807.98,,162.207,691.577,,,Jhansi,,,
2020-02-25,3017.5099999999998,2846.979,,170.531,665.693,,,Jhansi,,,
2020-02-26,3061.745,2889.069,,172.676,660.911,,,Jhansi,,,
2020-02-27,2979.3289999999997,2837.915,,141.414,656.386,,,Jhansi,,,
2020-02-28,2972.862,2809.495,,163.367,664.806,,,Jhansi,,,
2020-02-29,2777.414,2777.414,,0.0,713.639,,,Jhansi,,,
2020-03-01,2928.505,2759.357,,169.148,712.023,,,Jhansi,,,
2020-03-02,2995.44,2828.135,,167.305,695.159,,,Jhansi,,,
2020-03-03,3027.3669999999997,2861.912,,165.455,697.657,,,Jhansi,,,
2020-03-04,2992.471,2818.427,,174.044,728.431,,,Jhansi,,,
2020-03-05,2923.319,2761.162,,162.157,685.327,,,Jhansi,,,
2020-03-06,2920.994,2752.708,,168.286,671.136,,,Jhansi,,,
2020-03-07,2968.952,2810.362,,158.59,684.814,,,Jhansi,,,
2020-03-08,2899.458,2741.889,,157.569,669.936,,,Jhansi,,,
2020-03-09,2865.4120000000003,2711.818,,153.594,645.252,,,Jhansi,,,
2020-03-10,2591.0080000000003,2505.561,,85.447,702.444,,,Jhansi,,,
2020-03-11,2681.654,2596.207,,85.447,647.572,,,Jhansi,,,
2020-03-12,2897.044,2758.183,,138.861,646.025,,,Jhansi,,,
2020-03-13,2928.675,2778.773,,149.902,641.347,,,Jhansi,,,
2020-03-14,2900.713,2750.811,,149.902,641.95,,,Jhansi,,,
2020-03-15,2668.014,2668.014,,0.0,661.143,,,Jhansi,,,
2020-03-16,2763.278,2763.278,,0.0,658.729,,,Jhansi,,,
2020-03-17,2991.874,2837.252,,154.622,637.596,,,Jhansi,,,
2020-03-18,2982.395,2843.206,,139.189,642.574,,,Jhansi,,,
2020-03-19,3282.8089999999997,3157.004,,125.805,662.429,,,Jhansi,,,
2020-03-20,3114.494,3114.494,,0.0,667.257,,,Jhansi,,,
2020-03-21,3138.157,2992.741,,145.416,665.43,,,Jhansi,,,
2020-03-22,3102.835,2949.62,,153.215,668.5,,,Jhansi,,,
2020-03-23,2908.479,2908.479,,0.0,673.4,,,Jhansi,,,
2020-03-24,3193.699,3027.326,,166.373,682.223,,,Jhansi,,,
2020-03-25,3283.604,3122.211,,161.393,691.975,,,Jhansi,,,
