date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,11566.745,11363.12,,203.625,3574.942,,32080.944746212503,Kanpur,,,
2020-01-02,12303.727,11430.475,,873.252,3609.506,,34883.77586900823,Kanpur,,,
2020-01-03,12263.55,11600.301,,663.249,3781.05,,34887.27677995568,Kanpur,,,
2020-01-04,11936.528,11611.904,,324.624,3668.842,,37776.15566474685,Kanpur,,,
2020-01-05,11438.043,11189.826,,248.217,3553.234,,32127.665180095144,Kanpur,,,
2020-01-06,11839.311,11252.812,,586.499,3495.796,,37782.397945573306,Kanpur,,,
2020-01-07,11879.522,11498.551,,380.971,3539.589,,37862.33137691782,Kanpur,,,
2020-01-08,11791.371,11505.61,,285.761,3777.363,,32057.545821481675,Kanpur,,,
2020-01-09,11232.326,11232.326,,0.0,3540.873,,34831.33756014675,Kanpur,,,
2020-01-10,11515.286999999998,11077.585,,437.702,3558.212,,34899.773331710254,Kanpur,,,
2020-01-11,12184.551,11260.59,,923.961,3560.923,,23208.159552116165,Kanpur,,,
2020-01-12,12332.315,11326.68,,1005.635,3564.51,,32154.35029404926,Kanpur,,,
2020-01-13,12359.147,11432.49,,926.657,3534.656,,32063.934939666604,Kanpur,,,
2020-01-14,11848.848000000002,11319.281,,529.567,3610.296,,32086.395899627147,Kanpur,,,
2020-01-15,11380.087,11018.725,,361.362,3714.618,,9217.88044015828,Kanpur,,,
2020-01-16,10930.982,10930.982,,0.0,3825.4,,32028.669802287288,Kanpur,,,
2020-01-17,11558.897,11464.528,,94.369,3777.871,,32041.52988696835,Kanpur,,,
2020-01-18,11408.958,11408.958,,0.0,3659.615,,0.0,Kanpur,,,
2020-01-19,11751.3,10970.359,,780.941,3569.298,,32088.621681799996,Kanpur,,,
2020-01-20,12102.097,11346.31,,755.787,3581.409,,28996.754514789667,Kanpur,,,
2020-01-21,11506.083,11506.083,,0.0,3580.155,,29008.815274390898,Kanpur,,,
2020-01-22,12022.685,11200.052,,822.633,3576.147,,31818.72454020667,Kanpur,,,
2020-01-23,12021.409,11298.548,,722.861,3432.247,,31822.130800099592,Kanpur,,,
2020-01-24,12332.48,11603.36,,729.12,3436.924,,34643.44838790776,Kanpur,,,
2020-01-25,12560.292,11716.742,,843.55,3521.156,,37773.37892404004,Kanpur,,,
2020-01-26,12080.978,11203.247,,877.731,3545.077,,14506.73238504268,Kanpur,,,
2020-01-27,11539.467,11472.816,,66.651,3543.837,,44489.001590389205,Kanpur,,,
2020-01-28,12333.474,11640.365,,693.109,3608.317,,37720.921274763496,Kanpur,,,
2020-01-29,12478.732,11663.006,,815.726,3720.752,,43043.00359760532,Kanpur,,,
2020-01-30,12507.133000000002,11705.888,,801.245,3435.56,,30653.175976076003,Kanpur,,,
2020-01-31,12457.128,11693.512,,763.616,3442.065,,33576.439854370736,Kanpur,,,
2020-02-01,12178.623,11415.007,,763.616,3490.742,,17650.47260003416,Kanpur,,,
2020-02-02,11782.74,10947.266,,835.474,3410.865,,17631.039597763323,Kanpur,,,
2020-02-03,12067.93,11186.95,,880.98,3410.243,,20351.07919776725,Kanpur,,,
2020-02-04,12128.7,11476.792,,651.908,3496.374,,17853.98741802649,Kanpur,,,
2020-02-05,12341.356,11489.543,,851.813,3434.05,,17560.148078485996,Kanpur,,,
2020-02-06,11654.187,11470.097,,184.09,3482.762,,17564.166732394893,Kanpur,,,
2020-02-07,12557.373,11652.493,,904.88,3471.113,,17930.239106430672,Kanpur,,,
2020-02-08,11851.078,11310.929,,540.149,3403.378,,17585.89963557653,Kanpur,,,
2020-02-09,11981.639,11052.704,,928.935,3476.397,,17512.61654813472,Kanpur,,,
2020-02-10,12013.256,11200.022,,813.234,3437.952,,17509.334163867432,Kanpur,,,
2020-02-11,12166.032,11284.178,,881.854,3368.919,,24847.563233465124,Kanpur,,,
2020-02-12,12318.679,11364.329,,954.35,3328.036,,17522.472744883453,Kanpur,,,
2020-02-13,12538.441,11740.135,,798.306,3229.556,,17640.37399917118,Kanpur,,,
