date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,2730.8199999999997,2599.734,,131.086,576.602,,9514.130571447977,Kolhapur,,,
2020-01-02,2770.277,2614.478,,155.799,585.1,,29571.50462354344,Kolhapur,,,
2020-01-03,2782.99,2662.701,,120.289,577.927,,29329.108583898997,Kolhapur,,,
2020-01-04,2816.4590000000003,2677.909,,138.55,579.42,,33504.1664769832,Kolhapur,,,
2020-01-05,2705.606,2556.897,,148.709,589.774,,19505.52230694289,Kolhapur,,,
2020-01-06,2762.605,2615.091,,147.514,602.227,,24465.56351225485,Kolhapur,,,
2020-01-07,2816.779,2669.738,,147.041,626.096,,18874.774555317937,Kolhapur,,,
2020-01-08,2825.366,2684.079,,141.287,635.04,,29194.560126035096,Kolhapur,,,
2020-01-09,2745.903,2599.852,,146.051,601.209,,29318.408464227705,Kolhapur,,,
2020-01-10,2713.144,2568.586,,144.558,608.161,,19069.146295371986,Kolhapur,,,
2020-01-11,2767.2490000000003,2628.731,,138.518,591.643,,19061.30111404253,Kolhapur,,,
2020-01-12,2779.856,2628.912,,150.944,592.213,,33560.55955624617,Kolhapur,,,
2020-01-13,2830.972,2669.202,,161.77,599.512,,29460.396263711395,Kolhapur,,,
2020-01-14,2707.7740000000003,2614.943,,92.831,593.497,,25807.003957781,Kolhapur,,,
2020-01-15,2545.652,2530.3,,15.352,588.566,,29404.19262105727,Kolhapur,,,
2020-01-16,2588.188,2518.507,,69.681,576.348,,33514.90194629117,Kolhapur,,,
2020-01-17,2765.005,2632.192,,132.813,560.436,,29360.745249845,Kolhapur,,,
2020-01-18,2771.722,2618.565,,153.157,568.239,,29303.808707824464,Kolhapur,,,
2020-01-19,2642.211,2505.612,,136.599,587.176,,40757.84146971352,Kolhapur,,,
2020-01-20,2619.742,2619.742,,0.0,593.896,,40963.36891363197,Kolhapur,,,
2020-01-21,2779.684,2642.456,,137.228,590.667,,29116.13798441649,Kolhapur,,,
2020-01-22,2712.84,2575.185,,137.655,570.083,,54312.03107194806,Kolhapur,,,
2020-01-23,2746.69,2609.023,,137.667,569.776,,49999.08294762693,Kolhapur,,,
2020-01-24,2805.03,2672.527,,132.503,570.957,,40746.80434670516,Kolhapur,,,
2020-01-25,2734.078,2702.243,,31.835,573.706,,49195.67943894115,Kolhapur,,,
2020-01-26,2557.89,2557.883,,0.007,581.901,,45268.51284440292,Kolhapur,,,
2020-01-27,2768.389,2690.85,,77.539,591.838,,41160.1163460027,Kolhapur,,,
2020-01-28,2868.211,2727.356,,140.855,603.307,,49225.9724506323,Kolhapur,,,
2020-01-29,2862.174,2743.158,,119.016,588.146,,49215.8964256715,Kolhapur,,,
2020-01-30,2843.235,2769.867,,73.368,566.088,,49118.41537183622,Kolhapur,,,
2020-01-31,2892.903,2749.508,,143.395,576.036,,41475.81207107157,Kolhapur,,,
2020-02-01,2790.32,2646.925,,143.395,566.7,,27456.61228528502,Kolhapur,,,
