date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,,2050.789,,0.0,492.403,,,Korba,,,
2020-01-02,,2065.388,,0.0,509.807,,,Korba,,,
2020-01-03,,2091.799,,92.288,520.232,,,Korba,,,
2020-01-04,,2099.419,,81.901,512.484,,,Korba,,,
2020-01-05,,2039.925,,98.091,493.255,,,Korba,,,
2020-01-06,,2053.747,,109.738,480.41,,,Korba,,,
2020-01-07,,2098.712,,111.546,475.205,,,Korba,,,
2020-01-08,,2101.577,,0.0,507.531,,,Korba,,,
2020-01-09,,2048.482,,116.728,493.77,,,Korba,,,
2020-01-10,,2022.853,,99.253,482.63,,,Korba,,,
2020-01-11,,2039.569,,106.032,489.8,,,Korba,,,
2020-01-12,,2032.969,,104.442,488.567,,,Korba,,,
2020-01-13,,2066.527,,93.928,467.691,,,Korba,,,
2020-01-14,,2057.267,,117.576,479.472,,,Korba,,,
2020-01-15,,2012.609,,127.567,482.405,,,Korba,,,
2020-01-16,,2002.26,,110.356,478.654,,,Korba,,,
2020-01-17,,2085.83,,113.489,491.173,,,Korba,,,
2020-01-18,,2079.292,,115.827,495.035,,,Korba,,,
2020-01-19,,1997.622,,108.811,499.681,,,Korba,,,
2020-01-20,,2063.923,,107.757,479.88,,,Korba,,,
2020-01-21,,2078.382,,113.335,483.251,,,Korba,,,
2020-01-22,,2009.82,,0.0,488.859,,,Korba,,,
2020-01-23,,2026.307,,113.466,476.893,,,Korba,,,
2020-01-24,,2076.856,,89.347,459.727,,,Korba,,,
2020-01-25,,2092.834,,97.525,463.07,,,Korba,,,
2020-01-26,,2008.042,,102.424,466.02,,,Korba,,,
2020-01-27,,2027.442,,109.337,458.071,,,Korba,,,
2020-01-28,,2057.254,,118.052,473.635,,,Korba,,,
2020-01-29,,2065.822,,127.508,480.372,,,Korba,,,
2020-01-30,,2078.792,,98.522,449.164,,,Korba,,,
2020-01-31,,2074.912,,103.878,455.871,,,Korba,,,
2020-02-01,,2041.444,,103.878,449.558,,,Korba,,,
2020-02-02,,1965.131,,107.468,448.505,,,Korba,,,
2020-02-03,,2010.858,,0.0,452.834,,,Korba,,,
2020-02-04,,2037.844,,0.0,512.431,,,Korba,,,
2020-02-05,,2037.528,,120.572,487.579,,,Korba,,,
2020-02-06,,2033.011,,0.0,481.471,,,Korba,,,
2020-02-07,,2069.447,,0.0,513.861,,,Korba,,,
2020-02-08,,2013.008,,14.382,500.505,,,Korba,,,
2020-02-09,,1970.28,,116.585,460.428,,,Korba,,,
2020-02-10,,2004.832,,120.981,460.739,,,Korba,,,
2020-02-11,,2022.11,,130.367,458.838,,,Korba,,,
2020-02-12,,2045.034,,112.615,456.19,,,Korba,,,
2020-02-13,,2101.37,,103.399,451.245,,,Korba,,,
2020-02-14,,2098.312,,104.338,441.101,,,Korba,,,
