date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,8492.713,8490.795,,1.918,1237.88,,,Kota,,,
2020-01-02,8553.529,8551.73,,1.799,1259.039,,,Kota,,,
2020-01-03,8992.425,8710.982,,281.443,1231.638,,,Kota,,,
2020-01-04,8995.317000000001,8703.367,,291.95,1237.387,,,Kota,,,
2020-01-05,8688.750999999998,8394.121,,294.63,1202.992,,,Kota,,,
2020-01-06,8423.908,8423.908,,0.0,1158.766,,,Kota,,,
2020-01-07,8900.116,8610.048,,290.068,1172.392,,,Kota,,,
2020-01-08,8938.366,8623.804,,314.562,1205.427,,,Kota,,,
2020-01-09,8731.033000000001,8455.968,,275.065,1160.643,,,Kota,,,
2020-01-10,8589.177,8321.858,,267.319,1168.894,,,Kota,,,
2020-01-11,8773.877,8487.673,,286.204,1136.08,,,Kota,,,
2020-01-12,8827.037,8529.858,,297.179,1131.286,,,Kota,,,
2020-01-13,8855.354000000001,8567.217,,288.137,1170.409,,,Kota,,,
2020-01-14,8534.361,8439.038,,95.323,1199.667,,,Kota,,,
2020-01-15,8349.072999999999,8227.631,,121.442,1300.111,,,Kota,,,
2020-01-16,8246.034,8224.367,,21.667,1325.783,,,Kota,,,
2020-01-17,8874.050000000001,8611.019,,263.031,1241.612,,,Kota,,,
2020-01-18,8819.677,8548.498,,271.179,1191.586,,,Kota,,,
2020-01-19,8304.887999999999,8222.07,,82.818,1196.87,,,Kota,,,
2020-01-20,8505.59,8505.59,,0.0,1202.875,,,Kota,,,
2020-01-21,8869.804,8607.443,,262.361,1226.651,,,Kota,,,
2020-01-22,8358.065,8358.065,,0.0,1217.745,,,Kota,,,
2020-01-23,8720.62,8477.661,,242.959,1139.456,,,Kota,,,
2020-01-24,8943.899,8699.196,,244.703,1119.562,,,Kota,,,
2020-01-25,9061.563,8799.668,,261.895,1121.922,,,Kota,,,
2020-01-26,8667.399,8404.622,,262.777,1137.325,,,Kota,,,
2020-01-27,8709.714,8610.141,,99.573,1153.949,,,Kota,,,
2020-01-28,8791.956,8728.992,,62.964,1128.974,,,Kota,,,
2020-01-29,8989.971,8752.801,,237.17,1120.633,,,Kota,,,
2020-01-30,8896.258,8800.937,,95.321,1121.186,,,Kota,,,
2020-01-31,9033.213,8761.871,,271.342,1122.122,,,Kota,,,
2020-02-01,8866.624,8595.282,,271.342,1124.896,,,Kota,,,
2020-02-02,8476.689,8204.021,,272.668,1122.418,,,Kota,,,
2020-02-03,8714.705,8424.078,,290.627,1126.973,,,Kota,,,
2020-02-04,8887.236,8615.272,,271.964,1171.606,,,Kota,,,
2020-02-05,8910.649,8633.889,,276.76,1128.343,,,Kota,,,
2020-02-06,8832.336000000001,8662.11,,170.226,1139.872,,,Kota,,,
2020-02-07,8785.803,8785.803,,0.0,1139.358,,,Kota,,,
2020-02-08,8769.509999999998,8500.103,,269.407,1126.76,,,Kota,,,
2020-02-09,8593.409,8315.582,,277.827,1127.707,,,Kota,,,
2020-02-10,8735.772,8449.661,,286.111,1128.52,,,Kota,,,
2020-02-11,8799.836,8502.894,,296.942,1137.93,,,Kota,,,
2020-02-12,8845.630000000001,8556.618,,289.012,1139.518,,,Kota,,,
2020-02-13,9128.848,8842.012,,286.836,1121.87,,,Kota,,,
2020-02-14,9086.181999999999,8794.043,,292.139,1119.158,,,Kota,,,
2020-02-15,9172.357,8880.218,,292.139,1125.006,,,Kota,,,
2020-02-16,8794.421999999999,8543.756,,250.666,1125.539,,,Kota,,,
2020-02-17,8981.855,8744.776,,237.079,1119.601,,,Kota,,,
2020-02-18,9204.965,8915.313,,289.652,1120.719,,,Kota,,,
2020-02-19,8960.662999999999,8825.782,,134.881,1113.027,,,Kota,,,
2020-02-20,8954.826000000001,8659.433,,295.393,1131.808,,,Kota,,,
2020-02-21,8637.859,8378.94,,258.919,1112.172,,,Kota,,,
2020-02-22,8756.708999999999,8463.739,,292.97,1187.534,,,Kota,,,
2020-02-23,8270.890000000001,8261.672,,9.218,1173.633,,,Kota,,,
2020-02-24,8825.832,8531.315,,294.517,1151.231,,,Kota,,,
2020-02-25,8959.416000000001,8668.939,,290.477,1106.996,,,Kota,,,
2020-02-26,8932.984,8756.075,,176.909,1111.293,,,Kota,,,
2020-02-27,8646.634999999998,8626.041,,20.594,1099.018,,,Kota,,,
2020-02-28,8582.395,8582.395,,0.0,1129.782,,,Kota,,,
2020-02-29,8774.997,8483.319,,291.678,1128.746,,,Kota,,,
2020-03-01,8628.613,8362.554,,266.059,1127.127,,,Kota,,,
2020-03-02,8836.178,8559.389,,276.789,1133.183,,,Kota,,,
2020-03-03,8984.868,8669.671,,315.197,1151.705,,,Kota,,,
2020-03-04,8583.121000000001,8526.734,,56.387,1112.505,,,Kota,,,
2020-03-05,8526.502,8344.787,,181.715,1107.887,,,Kota,,,
2020-03-06,8593.901,8296.576,,297.325,1109.349,,,Kota,,,
2020-03-07,8667.284000000001,8419.557,,247.727,1112.659,,,Kota,,,
2020-03-08,8415.866,8181.507,,234.359,1109.624,,,Kota,,,
2020-03-09,8107.137000000001,8107.006,,0.131,1108.843,,,Kota,,,
2020-03-10,7702.03,7441.708,,260.322,1144.727,,,Kota,,,
2020-03-11,7961.653,7701.331,,260.322,1102.755,,,Kota,,,
2020-03-12,8466.615,8232.25,,234.365,1108.191,,,Kota,,,
2020-03-13,8538.243,8282.271,,255.972,1103.405,,,Kota,,,
2020-03-14,8514.617,8258.645,,255.972,1104.293,,,Kota,,,
2020-03-15,7992.21,7992.21,,0.0,1105.963,,,Kota,,,
2020-03-16,8267.881,8267.881,,0.0,1095.854,,,Kota,,,
2020-03-17,8801.343,8537.343,,264.0,1097.345,,,Kota,,,
2020-03-18,8826.938,8563.008,,263.93,1123.435,,,Kota,,,
2020-03-19,9498.518,9498.518,,0.0,1160.267,,,Kota,,,
2020-03-20,9411.688,9385.096,,26.592,1168.884,,,Kota,,,
2020-03-21,9288.812,9041.505,,247.307,1165.906,,,Kota,,,
2020-03-22,9142.715999999999,8877.889,,264.827,1175.094,,,Kota,,,
2020-03-23,8977.880000000001,8737.387,,240.493,1174.954,,,Kota,,,
2020-03-24,9097.676,9097.676,,0.0,1191.819,,,Kota,,,
2020-03-25,9523.245,9420.986,,102.259,1179.771,,,Kota,,,
2020-03-26,9552.29,9552.29,,0.0,1216.406,,,Kota,,,
2020-03-27,9714.168,9501.435,,212.733,1220.782,,,Kota,,,
2020-03-28,9698.208999999999,9444.283,,253.926,1160.464,,,Kota,,,
2020-03-29,9386.746,9127.571,,259.175,1139.265,,,Kota,,,
2020-03-30,9179.391,8923.092,,256.299,1151.94,,,Kota,,,
2020-03-31,9083.922,8898.382,,185.54,1170.6,,,Kota,,,
2020-04-01,9591.278,9308.082,,283.196,1162.394,,,Kota,,,
2020-04-02,9763.788,9512.605,,251.183,1156.298,,,Kota,,,
2020-04-03,9833.132,9582.314,,250.818,1156.03,,,Kota,,,
2020-04-04,9796.546,9533.117,,263.429,1168.48,,,Kota,,,
2020-04-05,9154.262,9154.262,,0.0,1177.653,,,Kota,,,
2020-04-06,9884.583,9617.457,,267.126,1194.757,,,Kota,,,
2020-04-07,9927.932,9697.672,,230.26,1203.321,,,Kota,,,
2020-04-08,9953.539,9661.616,,291.923,1187.851,,,Kota,,,
2020-04-09,9931.736,9684.412,,247.324,1187.543,,,Kota,,,
2020-04-10,9754.524,9754.345,,0.179,1202.354,,,Kota,,,
2020-04-11,9787.253,9518.19,,269.063,1215.998,,,Kota,,,
2020-04-12,9625.050000000001,9359.227,,265.823,1211.865,,,Kota,,,
2020-04-13,10143.135,9896.468,,246.667,1236.121,,,Kota,,,
2020-04-14,9935.911999999998,9688.496,,247.416,1244.617,,,Kota,,,
2020-04-15,9652.493999999999,9646.996,,5.498,1234.892,,,Kota,,,
2020-04-16,9560.863,9310.446,,250.417,1248.722,,,Kota,,,
2020-04-17,9555.231,9270.346,,284.885,1240.733,,,Kota,,,
2020-04-18,9502.152,9191.3,,310.852,1238.753,,,Kota,,,
2020-04-19,9142.893,8874.658,,268.235,1222.827,,,Kota,,,
2020-04-20,9708.847,9550.229,,158.618,1201.01,,,Kota,,,
2020-04-21,9831.372000000001,9547.343,,284.029,1206.015,,,Kota,,,
2020-04-22,9547.309000000001,9279.074,,268.235,1221.638,,,Kota,,,
2020-04-23,9714.813,9430.656,,284.157,1225.095,,,Kota,,,
2020-04-24,9838.617,9591.933,,246.684,1232.007,,,Kota,,,
2020-04-25,9723.957999999999,9458.247,,265.711,1212.64,,,Kota,,,
2020-04-26,9315.720000000001,9314.691,,1.029,1212.379,,,Kota,,,
2020-04-27,9888.067,9664.399,,223.668,1197.572,,,Kota,,,
2020-04-28,9939.527,9626.664,,312.863,1224.383,,,Kota,,,
2020-04-29,9947.921,9643.635,,304.286,1235.373,,,Kota,,,
