date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,2654.749,2542.575,,112.174,418.408,,,Kurnool,,,
2020-01-02,2660.64,2559.384,,101.256,426.119,,,Kurnool,,,
2020-01-03,2706.4930000000004,2603.387,,103.106,426.221,,,Kurnool,,,
2020-01-04,2727.718,2613.236,,114.482,423.879,,,Kurnool,,,
2020-01-05,2626.2360000000003,2518.945,,107.291,419.575,,,Kurnool,,,
2020-01-06,2697.172,2537.823,,159.349,422.879,,,Kurnool,,,
2020-01-07,2714.089,2599.439,,114.65,421.629,,,Kurnool,,,
2020-01-08,2708.692,2606.278,,102.414,415.393,,,Kurnool,,,
2020-01-09,2656.692,2557.616,,99.076,407.393,,,Kurnool,,,
2020-01-10,2522.469,2522.469,,0.0,412.913,,,Kurnool,,,
2020-01-11,2662.884,2562.044,,100.84,406.239,,,Kurnool,,,
2020-01-12,2672.3160000000003,2564.079,,108.237,397.897,,,Kurnool,,,
2020-01-13,2706.233,2602.273,,103.96,390.065,,,Kurnool,,,
2020-01-14,2667.808,2560.576,,107.232,384.257,,,Kurnool,,,
2020-01-15,2578.423,2482.844,,95.579,385.042,,,Kurnool,,,
2020-01-16,2463.881,2463.511,,0.37,385.912,,,Kurnool,,,
2020-01-17,2688.998,2583.68,,105.318,392.81,,,Kurnool,,,
2020-01-18,2664.939,2572.241,,92.698,402.456,,,Kurnool,,,
2020-01-19,2564.513,2468.112,,96.401,397.285,,,Kurnool,,,
2020-01-20,2674.701,2569.283,,105.418,394.512,,,Kurnool,,,
2020-01-21,2584.02,2583.824,,0.196,387.976,,,Kurnool,,,
2020-01-22,2522.399,2520.625,,1.774,393.072,,,Kurnool,,,
2020-01-23,2651.2929999999997,2552.307,,98.986,393.161,,,Kurnool,,,
2020-01-24,2709.512,2612.092,,97.42,387.6,,,Kurnool,,,
2020-01-25,2737.293,2635.021,,102.272,390.821,,,Kurnool,,,
2020-01-26,2523.559,2517.909,,5.65,394.809,,,Kurnool,,,
2020-01-27,2643.701,2606.749,,36.952,398.873,,,Kurnool,,,
2020-01-28,2759.682,2644.626,,115.056,397.734,,,Kurnool,,,
2020-01-29,2774.442,2664.36,,110.082,396.775,,,Kurnool,,,
2020-01-30,2805.808,2687.771,,118.037,398.292,,,Kurnool,,,
2020-01-31,2770.42,2673.521,,96.899,396.504,,,Kurnool,,,
2020-02-01,2708.261,2611.362,,96.899,399.113,,,Kurnool,,,
2020-02-02,2597.543,2482.06,,115.483,402.947,,,Kurnool,,,
2020-02-03,2664.509,2561.474,,103.035,388.85,,,Kurnool,,,
2020-02-04,2715.371,2615.022,,100.349,390.336,,,Kurnool,,,
2020-02-05,2710.962,2608.416,,102.546,392.439,,,Kurnool,,,
2020-02-06,2611.959,2611.959,,0.0,396.265,,,Kurnool,,,
2020-02-07,2755.77,2643.058,,112.712,397.298,,,Kurnool,,,
2020-02-08,2641.355,2530.455,,110.9,398.417,,,Kurnool,,,
2020-02-09,2588.254,2482.427,,105.827,413.125,,,Kurnool,,,
2020-02-10,2643.547,2536.534,,107.013,408.038,,,Kurnool,,,
2020-02-11,2650.761,2544.101,,106.66,401.842,,,Kurnool,,,
2020-02-12,2680.213,2570.244,,109.969,396.361,,,Kurnool,,,
2020-02-13,2767.013,2660.881,,106.132,389.107,,,Kurnool,,,
2020-02-14,2748.7200000000003,2644.606,,104.114,389.551,,,Kurnool,,,
2020-02-15,2784.257,2680.143,,104.114,397.704,,,Kurnool,,,
2020-02-16,2679.836,2569.111,,110.725,398.361,,,Kurnool,,,
2020-02-17,2676.615,2636.718,,39.897,395.785,,,Kurnool,,,
2020-02-18,2801.672,2685.198,,116.474,395.627,,,Kurnool,,,
2020-02-19,2802.834,2685.259,,117.575,392.698,,,Kurnool,,,
2020-02-20,2672.0950000000003,2617.693,,54.402,387.195,,,Kurnool,,,
2020-02-21,2627.001,2516.998,,110.003,383.86,,,Kurnool,,,
2020-02-22,2650.716,2543.48,,107.236,385.833,,,Kurnool,,,
2020-02-23,2521.165,2472.774,,48.391,386.253,,,Kurnool,,,
2020-02-24,2680.362,2559.783,,120.579,390.592,,,Kurnool,,,
2020-02-25,2734.077,2594.849,,139.228,391.031,,,Kurnool,,,
2020-02-26,2751.85,2628.551,,123.299,397.744,,,Kurnool,,,
2020-02-27,2683.584,2603.243,,80.341,384.611,,,Kurnool,,,
2020-02-28,2716.271,2587.072,,129.199,391.738,,,Kurnool,,,
2020-02-29,2677.474,2551.505,,125.969,386.836,,,Kurnool,,,
2020-03-01,2624.923,2501.556,,123.367,397.483,,,Kurnool,,,
2020-03-02,2699.912,2573.408,,126.504,395.624,,,Kurnool,,,
2020-03-03,2734.006,2604.027,,129.979,400.706,,,Kurnool,,,
2020-03-04,2633.238,2568.006,,65.232,400.892,,,Kurnool,,,
2020-03-05,2655.144,2522.694,,132.45,400.894,,,Kurnool,,,
2020-03-06,2665.414,2539.747,,125.667,401.931,,,Kurnool,,,
2020-03-07,2694.41,2569.446,,124.964,407.385,,,Kurnool,,,
2020-03-08,2616.4750000000004,2490.465,,126.01,413.822,,,Kurnool,,,
2020-03-09,2588.946,2470.633,,118.313,403.851,,,Kurnool,,,
2020-03-10,2422.9759999999997,2303.265,,119.711,401.691,,,Kurnool,,,
2020-03-11,2512.182,2392.471,,119.711,403.333,,,Kurnool,,,
2020-03-12,2653.839,2532.604,,121.235,404.396,,,Kurnool,,,
2020-03-13,2666.016,2554.63,,111.386,403.785,,,Kurnool,,,
2020-03-14,2652.692,2541.306,,111.386,402.179,,,Kurnool,,,
2020-03-15,2557.904,2439.753,,118.151,398.795,,,Kurnool,,,
2020-03-16,2637.723,2526.843,,110.88,395.397,,,Kurnool,,,
2020-03-17,2721.645,2612.652,,108.993,400.552,,,Kurnool,,,
2020-03-18,2710.519,2597.161,,113.358,403.351,,,Kurnool,,,
2020-03-19,3007.965,2893.473,,114.492,410.243,,,Kurnool,,,
2020-03-20,2907.0339999999997,2843.557,,63.477,413.191,,,Kurnool,,,
2020-03-21,2873.708,2741.893,,131.815,411.441,,,Kurnool,,,
2020-03-22,2817.679,2696.179,,121.5,413.269,,,Kurnool,,,
2020-03-23,2768.946,2646.578,,122.368,411.599,,,Kurnool,,,
2020-03-24,2879.6360000000004,2759.684,,119.952,413.211,,,Kurnool,,,
2020-03-25,2854.246,2854.246,,0.0,412.821,,,Kurnool,,,
2020-03-26,2957.632,2887.032,,70.6,412.383,,,Kurnool,,,
2020-03-27,2978.739,2872.058,,106.681,408.482,,,Kurnool,,,
2020-03-28,2968.1749999999997,2855.169,,113.006,413.582,,,Kurnool,,,
2020-03-29,2886.4750000000004,2771.117,,115.358,416.561,,,Kurnool,,,
2020-03-30,2699.896,2699.896,,0.0,412.51,,,Kurnool,,,
2020-03-31,2821.105,2702.879,,118.226,414.795,,,Kurnool,,,
2020-04-01,2958.88,2826.946,,131.934,413.044,,,Kurnool,,,
2020-04-02,3021.8050000000003,2888.338,,133.467,418.116,,,Kurnool,,,
2020-04-03,3049.519,2911.182,,138.337,415.706,,,Kurnool,,,
2020-04-04,3000.25,2886.093,,114.157,411.62,,,Kurnool,,,
2020-04-05,2821.606,2776.522,,45.084,411.298,,,Kurnool,,,
2020-04-06,3061.5299999999997,2918.461,,143.069,413.712,,,Kurnool,,,
2020-04-07,2936.249,2931.805,,4.444,409.333,,,Kurnool,,,
2020-04-08,3039.641,2912.763,,126.878,408.278,,,Kurnool,,,
2020-04-09,3071.1,2932.333,,138.767,406.688,,,Kurnool,,,
2020-04-10,2955.049,2955.049,,0.0,406.722,,,Kurnool,,,
2020-04-11,2969.8309999999997,2904.392,,65.439,409.002,,,Kurnool,,,
2020-04-12,2944.2859999999996,2827.479,,116.807,410.416,,,Kurnool,,,
2020-04-13,3124.11,2993.913,,130.197,415.065,,,Kurnool,,,
2020-04-14,3066.705,2941.638,,125.067,418.309,,,Kurnool,,,
2020-04-15,2916.476,2916.476,,0.0,416.462,,,Kurnool,,,
2020-04-16,2828.031,2828.031,,0.0,417.656,,,Kurnool,,,
2020-04-17,2961.291,2817.674,,143.617,419.04,,,Kurnool,,,
2020-04-18,2942.6110000000003,2792.954,,149.657,416.474,,,Kurnool,,,
2020-04-19,2833.282,2702.167,,131.115,413.619,,,Kurnool,,,
2020-04-20,2991.289,2861.657,,129.632,414.067,,,Kurnool,,,
2020-04-21,2881.174,2870.772,,10.402,417.434,,,Kurnool,,,
2020-04-22,2936.8579999999997,2802.506,,134.352,419.36,,,Kurnool,,,
2020-04-23,2964.347,2841.965,,122.382,421.606,,,Kurnool,,,
2020-04-24,2999.4280000000003,2870.666,,128.762,422.867,,,Kurnool,,,
2020-04-25,2970.747,2839.953,,130.794,416.687,,,Kurnool,,,
2020-04-26,2790.909,2790.663,,0.246,417.564,,,Kurnool,,,
2020-04-27,2890.079,2890.079,,0.0,415.152,,,Kurnool,,,
2020-04-28,3010.267,2892.585,,117.682,409.58,,,Kurnool,,,
2020-04-29,3017.681,2896.547,,121.134,406.537,,,Kurnool,,,
2020-04-30,2977.2700000000004,2858.126,,119.144,412.231,,,Kurnool,,,
2020-05-01,2686.638,2681.779,,4.859,411.436,,,Kurnool,,,
2020-05-02,2819.615,2693.647,,125.968,412.567,,,Kurnool,,,
2020-05-03,2768.24,2644.775,,123.465,411.362,,,Kurnool,,,
2020-05-04,2864.59,2738.605,,125.985,418.79,,,Kurnool,,,
