date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,9063.866,9063.866,,0.0,1454.856,,,Moradabad,,,
2020-01-02,9407.178,9120.861,,286.317,1418.866,,,Moradabad,,,
2020-01-03,9579.659000000001,9271.933,,307.726,1478.135,,,Moradabad,,,
2020-01-04,9649.196,9271.654,,377.542,1526.931,,,Moradabad,,,
2020-01-05,9244.993,8924.705,,320.288,1452.319,,,Moradabad,,,
2020-01-06,9415.302,8968.367,,446.935,1446.584,,,Moradabad,,,
2020-01-07,9160.859,9160.859,,0.0,1546.769,,,Moradabad,,,
2020-01-08,9180.363,9180.363,,0.0,1561.904,,,Moradabad,,,
2020-01-09,9285.054,8978.954,,306.1,1491.193,,,Moradabad,,,
2020-01-10,9181.071,8851.459,,329.612,1479.738,,,Moradabad,,,
2020-01-11,9309.54,9001.183,,308.357,1502.991,,,Moradabad,,,
2020-01-12,9114.298999999999,9045.114,,69.185,1516.48,,,Moradabad,,,
2020-01-13,9154.216,9123.981,,30.235,1484.526,,,Moradabad,,,
2020-01-14,9360.515000000001,9018.734,,341.781,1489.13,,,Moradabad,,,
2020-01-15,9095.970000000001,8786.002,,309.968,1476.533,,,Moradabad,,,
2020-01-16,8750.578,8749.482,,1.096,1523.786,,,Moradabad,,,
2020-01-17,9274.150000000001,9168.674,,105.476,1578.908,,,Moradabad,,,
2020-01-18,9471.638,9109.412,,362.226,1526.438,,,Moradabad,,,
2020-01-19,9102.755,8767.971,,334.784,1476.838,,,Moradabad,,,
2020-01-20,9063.192,9063.192,,0.0,1515.247,,,Moradabad,,,
2020-01-21,9409.417,9176.99,,232.427,1518.923,,,Moradabad,,,
2020-01-22,9252.939,8921.91,,331.029,1465.019,,,Moradabad,,,
2020-01-23,9324.387999999999,9022.214,,302.174,1396.53,,,Moradabad,,,
2020-01-24,9571.858999999999,9267.925,,303.934,1409.422,,,Moradabad,,,
2020-01-25,9739.292,9368.229,,371.063,1511.739,,,Moradabad,,,
2020-01-26,9256.439,8942.267,,314.172,1469.883,,,Moradabad,,,
2020-01-27,9168.076,9168.076,,0.0,1494.467,,,Moradabad,,,
2020-01-28,9307.42,9295.286,,12.134,1518.906,,,Moradabad,,,
2020-01-29,9582.59,9321.633,,260.957,1510.727,,,Moradabad,,,
2020-01-30,9680.848999999998,9370.782,,310.067,1422.101,,,Moradabad,,,
2020-01-31,9621.303,9339.412,,281.891,1458.385,,,Moradabad,,,
2020-02-01,9429.394,9147.503,,281.891,1451.961,,,Moradabad,,,
2020-02-02,9070.533,8747.501,,323.032,1467.309,,,Moradabad,,,
2020-02-03,9366.658,8965.946,,400.712,1474.475,,,Moradabad,,,
2020-02-04,9507.256,9181.552,,325.704,1481.076,,,Moradabad,,,
2020-02-05,9415.800000000001,9183.155,,232.645,1414.458,,,Moradabad,,,
2020-02-06,9509.421999999999,9179.407,,330.015,1468.152,,,Moradabad,,,
2020-02-07,9692.075,9307.431,,384.644,1440.359,,,Moradabad,,,
2020-02-08,9161.277,9018.604,,142.673,1452.822,,,Moradabad,,,
2020-02-09,9154.954,8818.122,,336.832,1478.321,,,Moradabad,,,
2020-02-10,9288.867999999999,8953.085,,335.783,1452.24,,,Moradabad,,,
2020-02-11,9106.325,9020.174,,86.151,1454.027,,,Moradabad,,,
2020-02-12,9102.447,9102.447,,0.0,1434.205,,,Moradabad,,,
2020-02-13,9609.35,9416.466,,192.884,1413.922,,,Moradabad,,,
2020-02-14,9700.797,9361.745,,339.052,1386.087,,,Moradabad,,,
2020-02-15,9764.159,9425.107,,339.052,1401.83,,,Moradabad,,,
2020-02-16,9458.309,9063.84,,394.469,1479.765,,,Moradabad,,,
2020-02-17,9628.822999999999,9288.844,,339.979,1388.589,,,Moradabad,,,
2020-02-18,9798.643,9474.359,,324.284,1376.831,,,Moradabad,,,
2020-02-19,9391.152,9391.152,,0.0,1415.061,,,Moradabad,,,
2020-02-20,9569.558,9222.92,,346.638,1397.82,,,Moradabad,,,
2020-02-21,9154.038999999999,8901.898,,252.141,1497.297,,,Moradabad,,,
2020-02-22,9418.35,8991.894,,426.456,1459.34,,,Moradabad,,,
2020-02-23,9031.271999999999,8770.633,,260.639,1464.202,,,Moradabad,,,
2020-02-24,9426.118999999999,9068.578,,357.541,1415.744,,,Moradabad,,,
2020-02-25,9538.0,9214.264,,323.736,1435.4,,,Moradabad,,,
2020-02-26,9389.923,9309.888,,80.035,1467.735,,,Moradabad,,,
2020-02-27,9186.061,9186.061,,0.0,1440.534,,,Moradabad,,,
