date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,3785.931,3552.736,,233.195,935.388,,0.06051549537403328,Mysuru,,,
2020-01-02,3801.088,3575.25,,225.838,940.818,,0.05718768666597295,Mysuru,,,
2020-01-03,3859.892,3647.436,,212.456,925.935,,0.056257348681543966,Mysuru,,,
2020-01-04,3881.289,3663.547,,217.742,927.247,,0.047410541688213265,Mysuru,,,
2020-01-05,3725.997,3522.619,,203.378,930.528,,0.05613423768337155,Mysuru,,,
2020-01-06,3759.162,3545.0,,214.162,930.363,,0.05939249763999245,Mysuru,,,
2020-01-07,3833.401,3622.007,,211.394,907.009,,0.06013283176185884,Mysuru,,,
2020-01-08,3839.57,3625.758,,213.812,914.83,,0.041372274820257,Mysuru,,,
2020-01-09,3769.685,3549.844,,219.841,904.498,,0.04388488514828964,Mysuru,,,
2020-01-10,3739.289,3509.521,,229.768,891.784,,0.056262376400030296,Mysuru,,,
2020-01-11,3673.516,3570.093,,103.423,866.695,,0.05625545074218468,Mysuru,,,
2020-01-12,3787.208,3570.013,,217.195,898.726,,0.05134380728046692,Mysuru,,,
2020-01-13,3630.42,3618.879,,11.541,899.665,,0.05647723199765736,Mysuru,,,
2020-01-14,3775.735,3546.986,,228.749,880.609,,0.05643083016164468,Mysuru,,,
2020-01-15,3655.928,3433.957,,221.971,853.085,,0.05659907128111874,Mysuru,,,
2020-01-16,3557.263,3421.729,,135.534,893.463,,0.047494275941018155,Mysuru,,,
2020-01-17,3819.841,3580.173,,239.668,866.908,,0.043878698588390164,Mysuru,,,
2020-01-18,3773.456,3565.01,,208.446,912.153,,0.03842057556455463,Mysuru,,,
2020-01-19,3634.427,3417.228,,217.199,902.325,,0.04298897886606155,Mysuru,,,
2020-01-20,3640.532,3569.329,,71.203,883.102,,0.03846226433970187,Mysuru,,,
2020-01-21,3594.158,3594.158,,0.0,856.489,,0.03850455781413578,Mysuru,,,
2020-01-22,3717.656,3512.003,,205.653,880.178,,0.03850132468486142,Mysuru,,,
2020-01-23,3756.702,3554.589,,202.113,885.728,,0.03849764060163297,Mysuru,,,
2020-01-24,3840.18,3638.831,,201.349,843.318,,0.04038103850788945,Mysuru,,,
2020-01-25,3897.648,3681.693,,215.955,843.235,,0.038496824456847954,Mysuru,,,
2020-01-26,3686.885,3505.482,,181.403,848.671,,0.03985714756906865,Mysuru,,,
2020-01-27,3808.603,3640.908,,167.695,863.248,,0.04748449748800506,Mysuru,,,
2020-01-28,3928.224,3691.431,,236.793,908.816,,0.0474844426094145,Mysuru,,,
2020-01-29,3962.146,3724.005,,238.141,884.014,,0.04912970513560594,Mysuru,,,
2020-01-30,3990.585,3756.582,,234.003,870.391,,0.04648399703340074,Mysuru,,,
2020-01-31,3765.24,3727.629,,37.611,868.45,,0.04743504986823059,Mysuru,,,
2020-02-01,3664.92,3627.309,,37.611,872.805,,0.04746893242263606,Mysuru,,,
2020-02-02,3676.994,3453.322,,223.672,868.523,,0.04748665376364783,Mysuru,,,
2020-02-03,3784.835,3565.513,,219.322,847.814,,0.04746317909014722,Mysuru,,,
2020-02-04,3863.459,3649.35,,214.109,849.333,,0.042991001873352884,Mysuru,,,
2020-02-05,3863.529,3650.81,,212.719,878.489,,0.03994757580333369,Mysuru,,,
2020-02-06,3877.351,3649.793,,227.558,886.952,,0.05322863062895148,Mysuru,,,
2020-02-07,3914.15,3687.727,,226.423,908.549,,0.043531596252771004,Mysuru,,,
2020-02-08,3777.436,3569.447,,207.989,875.913,,0.04812703179238504,Mysuru,,,
2020-02-09,3716.446,3485.071,,231.375,884.129,,0.04726309532528844,Mysuru,,,
2020-02-10,3771.994,3549.464,,222.53,882.621,,0.047417730389652454,Mysuru,,,
2020-02-11,3671.549,3560.778,,110.771,860.714,,0.04723585595806047,Mysuru,,,
2020-02-12,3796.388,3590.191,,206.197,873.955,,0.04665130682304428,Mysuru,,,
