date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,18.686,0.0,,18.686,3075.426,,0.34348256016038153,Nagpur,,,
2020-01-02,2.722,0.0,,2.722,3131.158,,0.31195299604803395,Nagpur,,,
2020-01-03,654.495,0.0,,654.495,3048.419,,0.3145136641208706,Nagpur,,,
2020-01-04,601.769,0.0,,601.769,2939.843,,0.3113034746104424,Nagpur,,,
2020-01-05,595.957,0.0,,595.957,2818.83,,0.34366580204343933,Nagpur,,,
2020-01-06,560.395,0.0,,560.395,2857.149,,0.31049130363035654,Nagpur,,,
2020-01-07,599.317,0.0,,599.317,2917.23,,0.2864138973496265,Nagpur,,,
2020-01-08,204.824,0.0,,204.824,3149.728,,0.22512268212580105,Nagpur,,,
2020-01-09,662.217,0.0,,662.217,2848.642,,0.2950663561368056,Nagpur,,,
2020-01-10,600.124,0.0,,600.124,2761.705,,0.3223605340637658,Nagpur,,,
2020-01-11,558.021,0.0,,558.021,2848.561,,0.2972266677015483,Nagpur,,,
2020-01-12,595.828,0.0,,595.828,2747.607,,0.32652840044787795,Nagpur,,,
2020-01-13,526.714,0.0,,526.714,2739.791,,0.29600271807250367,Nagpur,,,
2020-01-14,683.151,0.0,,683.151,2855.244,,0.3053241569842556,Nagpur,,,
2020-01-15,638.257,0.0,,638.257,2876.197,,0.3192388867725422,Nagpur,,,
2020-01-16,343.843,0.0,,343.843,2836.849,,0.3092981141007289,Nagpur,,,
2020-01-17,222.079,0.0,,222.079,2902.961,,0.3314680774207792,Nagpur,,,
2020-01-18,669.178,0.0,,669.178,2979.953,,0.29581752175401976,Nagpur,,,
2020-01-19,548.907,0.0,,548.907,2929.51,,0.34161634285896036,Nagpur,,,
2020-01-20,0.0,0.0,,0.0,2878.424,,0.29766007149895957,Nagpur,,,
2020-01-21,565.937,0.0,,565.937,2930.163,,0.30668539510075565,Nagpur,,,
2020-01-22,582.217,0.0,,582.217,2919.116,,0.299868556745954,Nagpur,,,
2020-01-23,635.957,0.0,,635.957,2868.188,,0.3138199373987009,Nagpur,,,
2020-01-24,635.718,0.0,,635.718,2754.859,,0.3257795646422062,Nagpur,,,
2020-01-25,730.295,0.0,,730.295,2764.489,,0.2865249710880397,Nagpur,,,
2020-01-26,422.606,0.0,,422.606,2743.973,,0.3415529985499423,Nagpur,,,
2020-01-27,222.727,0.0,,222.727,2714.261,,0.3084618820746873,Nagpur,,,
2020-01-28,702.686,0.0,,702.686,2665.111,,0.30836133199855686,Nagpur,,,
2020-01-29,643.047,0.0,,643.047,2755.158,,0.3036457458536698,Nagpur,,,
2020-01-30,577.471,0.0,,577.471,2626.256,,0.334123958505195,Nagpur,,,
2020-01-31,601.096,0.0,,601.096,2619.69,,0.3398045156289644,Nagpur,,,
2020-02-01,601.096,0.0,,601.096,2633.834,,0.28073486694715266,Nagpur,,,
2020-02-02,625.336,0.0,,625.336,2645.901,,0.35799455950610676,Nagpur,,,
2020-02-03,977.997,0.0,,977.997,2812.841,,0.322705523970983,Nagpur,,,
2020-02-04,187.201,0.0,,187.201,2971.741,,0.28304177405816056,Nagpur,,,
2020-02-05,562.227,0.0,,562.227,2910.333,,0.3128261612283279,Nagpur,,,
2020-02-06,677.993,0.0,,677.993,2957.512,,0.33467829993952564,Nagpur,,,
2020-02-07,180.528,0.0,,180.528,3034.999,,0.30149898402124353,Nagpur,,,
2020-02-08,639.526,0.0,,639.526,2805.195,,0.32128378365152144,Nagpur,,,
2020-02-09,630.029,0.0,,630.029,2768.827,,0.355110311529451,Nagpur,,,
2020-02-10,659.626,0.0,,659.626,2726.139,,0.31779541694482927,Nagpur,,,
2020-02-11,381.624,0.0,,381.624,2749.051,,0.3152666600848054,Nagpur,,,
2020-02-12,658.663,0.0,,658.663,2719.819,,0.304465448491568,Nagpur,,,
2020-02-13,571.916,0.0,,571.916,2662.792,,0.35732381929334844,Nagpur,,,
2020-02-14,631.532,0.0,,631.532,2633.681,,0.31978715740938046,Nagpur,,,
2020-02-15,631.532,0.0,,631.532,2645.552,,0.3386672471756196,Nagpur,,,
2020-02-16,626.019,0.0,,626.019,2613.946,,0.35099348281757276,Nagpur,,,
2020-02-17,548.222,0.0,,548.222,2613.946,,0.3180484265748224,Nagpur,,,
2020-02-18,548.788,0.0,,548.788,2613.946,,0.32191571847863243,Nagpur,,,
2020-02-19,742.897,0.0,,742.897,2618.374,,0.31272761194390997,Nagpur,,,
2020-02-20,631.91,0.0,,631.91,2716.509,,0.3532534486659422,Nagpur,,,
2020-02-21,621.306,0.0,,621.306,2808.625,,0.31543316137278926,Nagpur,,,
2020-02-22,124.519,0.0,,124.519,2783.61,,0.30664806460720206,Nagpur,,,
2020-02-23,199.972,0.0,,199.972,2784.771,,0.37217925659548373,Nagpur,,,
2020-02-24,692.527,0.0,,692.527,2858.753,,0.31196692006224575,Nagpur,,,
2020-02-25,637.258,0.0,,637.258,2628.103,,0.29725231944118663,Nagpur,,,
2020-02-26,617.598,0.0,,617.598,2613.946,,0.3231147387846705,Nagpur,,,
2020-02-27,641.634,0.0,,641.634,2627.29,,0.3187549549919098,Nagpur,,,
