date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,4637.004,4313.093,,323.911,1673.942,,34767.28646827469,Nashik,,,
2020-01-02,4713.256,4346.018,,367.238,1701.595,,34648.194155844336,Nashik,,,
2020-01-03,4863.722,4421.443,,442.279,1732.71,,34859.3361163013,Nashik,,,
2020-01-04,4812.103999999999,4436.959,,375.145,1713.836,,34862.7426408973,Nashik,,,
2020-01-05,4675.232,4257.821,,417.411,1691.902,,34859.316260704494,Nashik,,,
2020-01-06,4723.945000000001,4299.301,,424.644,1706.198,,34850.92943742508,Nashik,,,
2020-01-07,4629.302000000001,4385.89,,243.412,1752.211,,34844.04674882282,Nashik,,,
2020-01-08,4791.0199999999995,4400.254,,390.766,1763.979,,14080.72381252034,Nashik,,,
2020-01-09,4687.697,4309.974,,377.723,1663.918,,34718.345834582426,Nashik,,,
2020-01-10,4636.915,4244.858,,392.057,1679.372,,34782.58838705904,Nashik,,,
2020-01-11,4739.063,4335.141,,403.922,1713.804,,34855.64311047104,Nashik,,,
2020-01-12,4700.133,4346.271,,353.862,1736.499,,28165.59194802419,Nashik,,,
2020-01-13,4789.231,4396.257,,392.974,1792.574,,34828.45179540006,Nashik,,,
2020-01-14,4762.6720000000005,4316.545,,446.127,1735.291,,29033.93818838628,Nashik,,,
2020-01-15,4668.487,4190.693,,477.794,1731.935,,34759.353957146246,Nashik,,,
2020-01-16,4421.017,4179.815,,241.202,1649.686,,34829.943738872316,Nashik,,,
2020-01-17,4737.474,4371.511,,365.963,1587.557,,34866.52207939736,Nashik,,,
2020-01-18,4740.728,4342.936,,397.792,1662.14,,34814.52968533776,Nashik,,,
2020-01-19,4548.682,4151.23,,397.452,1686.805,,28111.206415209115,Nashik,,,
2020-01-20,4664.946,4338.48,,326.466,1688.405,,41399.30525056916,Nashik,,,
2020-01-21,4765.987,4386.233,,379.754,1691.3,,34817.474504804195,Nashik,,,
2020-01-22,4692.554,4265.398,,427.156,1675.427,,36905.29638392356,Nashik,,,
2020-01-23,4730.3009999999995,4321.471,,408.83,1695.398,,34844.78670582555,Nashik,,,
2020-01-24,4736.217000000001,4433.907,,302.31,1687.488,,34867.28813057594,Nashik,,,
2020-01-25,4601.093,4484.967,,116.126,1651.971,,42420.80429852998,Nashik,,,
2020-01-26,4693.0470000000005,4268.724,,424.323,1669.859,,37509.80563304949,Nashik,,,
2020-01-27,4820.579,4406.799,,413.78,1651.261,,34849.63616673564,Nashik,,,
2020-01-28,4812.496999999999,4459.994,,352.503,1757.519,,34798.36696692933,Nashik,,,
2020-01-29,4847.455,4482.278,,365.177,1653.952,,34859.62042762255,Nashik,,,
2020-01-30,4893.7970000000005,4513.627,,380.17,1617.006,,36842.87517834527,Nashik,,,
2020-01-31,4792.517,4478.596,,313.921,1646.844,,36970.45663083308,Nashik,,,
2020-02-01,4691.240000000001,4377.319,,313.921,1632.372,,36986.38103188989,Nashik,,,
2020-02-02,4570.691000000001,4171.292,,399.399,1634.101,,34867.5340629031,Nashik,,,
2020-02-03,4766.967000000001,4299.635,,467.332,1659.152,,34863.33227035295,Nashik,,,
2020-02-04,4838.672,4400.918,,437.754,1609.347,,37483.245230901506,Nashik,,,
2020-02-05,4401.826,4401.826,,0.0,1594.986,,34863.08046493023,Nashik,,,
2020-02-06,4795.878,4398.994,,396.884,1580.14,,34860.096215229925,Nashik,,,
2020-02-07,4875.235,4449.951,,425.284,1588.756,,31286.711908974154,Nashik,,,
2020-02-08,4694.812999999999,4302.873,,391.94,1602.314,,34477.954650727464,Nashik,,,
2020-02-09,4650.103,4209.249,,440.854,1607.893,,34465.07291746135,Nashik,,,
2020-02-10,4733.0109999999995,4294.789,,438.222,1681.7,,34776.8010822027,Nashik,,,
2020-02-11,4734.8730000000005,4314.671,,420.202,1688.54,,34842.51465769575,Nashik,,,
2020-02-12,4796.439,4346.276,,450.163,1661.756,,31129.467982700506,Nashik,,,
2020-02-13,4913.343999999999,4502.123,,411.221,1606.85,,34867.77950734627,Nashik,,,
2020-02-14,4928.266,4484.089,,444.177,1586.975,,26236.429468138704,Nashik,,,
2020-02-15,4972.78,4528.603,,444.177,1599.021,,34874.00540697669,Nashik,,,
2020-02-16,4699.184,4353.598,,345.586,1629.038,,34841.10029920781,Nashik,,,
2020-02-17,4462.149,4462.149,,0.0,1621.38,,34723.71353993297,Nashik,,,
