date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25,industrial_scope2
2020-01-01,554.6544264810625,537.618,,17.005,11.643,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-02,563.4014264810625,541.113,,22.257,11.62,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-03,563.2534264810624,551.158,,12.064,11.661,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-04,557.6864264810625,553.335,,4.32,11.63,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-05,554.7224264810624,530.881,,23.81,11.659,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-06,563.6484264810625,536.95,,26.667,11.666,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-07,571.7734264810624,548.136,,23.606,11.718,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-08,572.4054264810624,550.012,,22.362,11.803,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-09,555.4534264810625,537.139,,18.283,11.682,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-10,530.0854264810624,529.948,,0.106,11.752,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-11,540.8624264810625,540.831,,0.0,11.716,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-12,566.1984264810624,541.511,,24.656,11.769,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-13,574.2054264810624,548.536,,25.638,11.685,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-14,562.9234264810624,538.194,,24.698,11.636,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-15,545.9274264810624,521.977,,23.919,11.629,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-16,539.6404264810625,520.34,,19.269,11.571,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-17,563.5434264810624,544.284,,19.228,11.559,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-18,564.6374264810624,541.253,,23.353,11.605,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-19,544.6864264810624,518.568,,26.087,11.629,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-20,555.9794264810624,541.05,,14.898,11.716,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-21,552.2774264810625,546.003,,6.243,11.72,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-22,556.9814264810624,532.011,,24.939,11.634,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-23,563.3604264810624,538.894,,24.435,11.67,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-24,573.3204264810624,552.435,,20.854,11.657,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-25,583.1614264810624,558.783,,24.347,11.648,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-26,555.2554264810625,531.167,,24.057,11.707,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-27,578.8674264810625,551.77,,27.066,11.749,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-28,582.5994264810624,558.899,,23.669,11.702,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-29,584.4784264810625,562.45,,21.997,11.657,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-30,578.7634264810624,566.968,,11.764,11.638,0.031426481062495,,Panaji,,,,0.063122171859453
2020-01-31,583.4544264810625,562.85,,20.573,11.643,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-01,568.0284264810624,547.424,,20.573,11.659,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-02,544.0534264810625,521.416,,22.606,11.649,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-03,561.2344264810624,537.603,,23.6,11.592,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-04,575.7254264810624,550.276,,25.418,11.699,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-05,573.1904264810624,550.81,,22.349,11.715,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-06,571.7494264810624,550.411,,21.307,11.649,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-07,579.6834264810625,556.635,,23.017,11.666,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-08,563.4654264810624,538.404,,25.03,11.607,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-09,550.2374264810625,526.422,,23.784,11.685,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-10,553.0364264810624,536.794,,16.211,11.765,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-11,539.0884264810625,539.057,,0.0,11.68,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-12,564.7284264810625,543.277,,21.42,11.699,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-13,590.0614264810624,563.535,,26.495,11.659,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-14,588.3604264810624,561.303,,27.026,11.659,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-15,593.8774264810625,566.82,,27.026,11.763,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-16,569.8064264810625,543.859,,25.916,11.761,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-17,582.0604264810624,557.855,,24.174,11.664,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-18,592.5974264810625,568.513,,24.053,11.659,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-19,593.7594264810625,566.488,,27.24,11.615,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-20,562.7884264810624,555.126,,7.631,11.57,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-21,565.7434264810624,534.935,,30.777,11.568,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-22,567.7864264810624,540.663,,27.092,11.536,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-23,556.8174264810625,526.657,,30.129,11.562,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-24,570.8504264810625,544.272,,26.547,11.555,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-25,553.5384264810624,553.507,,0.0,11.547,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-26,558.8754264810625,558.844,,0.0,11.573,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-27,552.0564264810624,552.025,,0.0,11.338,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-28,578.4814264810625,548.413,,30.037,11.641,0.031426481062495,,Panaji,,,,0.063122171859453
2020-02-29,569.1104264810624,542.106,,26.973,11.494,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-01,564.0234264810625,533.898,,30.094,11.718,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-02,548.7444264810624,548.713,,0.0,11.678,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-03,554.7604264810625,554.729,,0.0,11.577,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-04,568.2904264810625,545.351,,22.908,11.537,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-05,557.5724264810624,536.717,,20.824,11.528,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-06,561.8124264810624,539.563,,22.218,11.556,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-07,572.5884264810625,547.929,,24.628,11.577,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-08,557.8784264810625,531.344,,26.503,11.564,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-09,527.2204264810624,527.189,,0.0,11.553,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-10,510.9304264810625,486.838,,24.061,11.545,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-11,529.4794264810624,505.387,,24.061,11.521,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-12,560.4574264810625,537.642,,22.784,11.564,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-13,563.0084264810624,541.468,,21.509,11.5,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-14,559.4314264810624,537.891,,21.509,11.52,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-15,544.6244264810624,517.534,,27.059,11.57,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-16,563.1474264810626,536.368,,26.748,11.482,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-17,579.8324264810625,551.601,,28.2,11.518,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-18,550.6614264810624,550.63,,0.0,11.556,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-19,639.4634264810625,610.758,,28.674,11.716,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-20,625.8024264810624,602.149,,23.622,11.678,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-21,599.9374264810625,579.682,,20.224,11.704,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-22,595.6294264810624,569.885,,25.713,11.772,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-23,585.8454264810625,560.018,,25.796,11.769,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-24,611.5394264810625,584.297,,27.211,11.826,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-25,630.4484264810624,604.006,,26.411,11.842,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-26,639.3964264810625,611.694,,27.671,11.821,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-27,636.6214264810625,608.522,,28.068,11.729,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-28,627.9344264810625,605.476,,22.427,11.733,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-29,611.5024264810625,585.4,,26.071,11.729,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-30,597.2584264810624,570.333,,26.894,11.687,0.031426481062495,,Panaji,,,,0.063122171859453
2020-03-31,595.9624264810625,568.755,,27.176,11.677,0.031426481062495,,Panaji,,,,0.063122171859453
2020-04-01,619.4592761163385,595.522,,23.898,11.627,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-02,638.1552761163384,609.681,,28.435,11.707,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-03,615.3602761163385,613.523,,1.798,11.687,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-04,639.5002761163385,609.601,,29.86,11.706,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-05,597.1552761163385,585.094,,12.022,11.63,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-06,642.5062761163385,615.926,,26.541,11.718,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-07,645.7132761163385,619.416,,26.258,11.695,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-08,641.1172761163384,616.34,,24.738,11.62,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-09,642.5202761163384,620.151,,22.33,11.598,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-10,624.8782761163385,624.839,,0.0,11.647,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-11,639.2282761163384,611.747,,27.442,11.662,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-12,624.1152761163385,597.879,,26.197,11.674,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-13,658.5872761163384,632.951,,25.597,11.722,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-14,620.9772761163384,620.938,,0.0,11.799,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-15,616.3202761163384,616.281,,0.0,11.737,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-16,623.1612761163385,597.311,,25.811,11.729,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-17,625.2922761163385,593.537,,31.716,11.735,0.0392761163384782,,Panaji,,,,0.07197211456698
2020-04-18,619.9612761163384,587.68,,32.242,11.736,0.0392761163384782,,Panaji,,,,0.07197211456698
