date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25,industrial_scope2
2020-01-01,1763.4636687268594,1763.203,,0.0,804.453,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-02,1779.7106687268595,1779.45,,0.0,786.052,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-03,1903.6416687268595,1812.141,,91.24,799.406,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-04,1827.7516687268594,1806.477,,21.014,799.606,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-05,1742.4496687268595,1742.189,,0.0,774.488,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-06,1720.9236687268594,1720.663,,0.0,798.923,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-07,1776.0596687268594,1775.041,,0.758,836.441,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-08,1978.2546687268593,1792.019,,185.975,845.832,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-09,1918.0546687268595,1751.744,,166.05,810.875,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-10,1890.7236687268594,1727.926,,162.537,794.161,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-11,1940.6846687268594,1752.42,,188.004,788.269,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-12,1763.7326687268594,1763.472,,0.0,803.8,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-13,1797.0506687268596,1773.496,,23.294,824.059,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-14,1898.0386687268594,1755.907,,141.871,817.419,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-15,1889.6286687268594,1715.146,,174.222,808.254,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-16,1808.4606687268595,1714.187,,94.013,827.495,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-17,1948.1196687268593,1792.555,,155.304,818.698,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-18,1965.3406687268593,1776.952,,188.128,820.834,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-19,1871.5686687268594,1711.191,,160.117,821.252,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-20,1767.5096687268594,1767.249,,0.0,796.831,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-21,1839.8346687268595,1789.355,,50.219,809.38,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-22,1895.7336687268594,1737.079,,158.394,791.213,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-23,1934.0826687268593,1759.449,,174.373,774.569,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-24,1974.3986687268593,1808.737,,165.401,769.303,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-25,2015.4306687268595,1829.201,,185.969,786.904,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-26,1754.4826687268594,1741.521,,12.701,800.107,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-27,1791.4746687268596,1788.593,,2.621,807.258,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-28,1916.0556687268595,1811.24,,104.555,823.137,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-29,1990.2256687268593,1816.254,,173.711,810.502,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-30,1986.5176687268595,1827.979,,158.278,804.404,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-01-31,1820.5596687268594,1820.299,,0.0,806.66,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-01,1789.1006687268593,1788.84,,0.0,797.967,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-02,1900.8616687268595,1709.517,,191.084,803.738,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-03,1946.4176687268593,1753.499,,192.658,788.533,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-04,1783.9396687268595,1783.679,,0.0,786.834,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-05,1960.2086687268595,1784.069,,175.879,794.333,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-06,1974.8326687268593,1783.267,,191.305,772.907,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-07,1995.4986687268595,1806.545,,188.693,780.862,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-08,1933.3806687268593,1749.179,,183.941,791.787,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-09,1846.3676687268594,1711.369,,134.738,787.694,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-10,1915.1586687268593,1737.736,,177.162,789.266,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-11,1751.1766687268594,1750.916,,0.0,787.752,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-12,1905.8746687268595,1772.412,,133.202,775.116,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-13,1970.1626687268595,1832.47,,137.432,775.591,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-14,1989.2706687268594,1821.553,,167.457,759.676,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-15,2001.0076687268595,1833.29,,167.457,746.116,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-16,1938.2156687268593,1758.638,,179.317,755.057,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-17,1966.2806687268594,1803.563,,162.457,743.368,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-18,2001.9736687268594,1839.748,,161.965,741.793,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-19,1817.4876687268595,1817.227,,0.0,732.733,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-20,1853.4666687268593,1782.14,,71.066,754.344,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-21,1727.8966687268594,1725.895,,1.741,798.028,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-22,1857.1106687268593,1743.823,,113.027,776.041,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-23,1842.2676687268595,1703.436,,138.571,797.587,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-24,1952.5636687268595,1758.766,,193.537,771.445,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-25,1982.3426687268595,1790.711,,191.371,758.381,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-26,2022.7966687268595,1808.964,,213.572,770.509,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-27,1782.2716687268594,1782.011,,0.0,758.977,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-28,1798.3826687268593,1766.572,,31.55,768.428,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-02-29,1889.0486687268594,1743.867,,144.921,780.126,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-01,1901.4636687268594,1725.009,,176.194,786.276,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-02,1928.3476687268594,1757.27,,170.817,765.583,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-03,1958.0516687268594,1781.642,,176.149,755.517,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-04,1905.6076687268594,1754.66,,150.687,742.199,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-05,1854.6766687268594,1718.295,,136.121,755.347,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-06,1874.6916687268595,1716.345,,158.086,810.136,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-07,1762.8036687268593,1753.268,,9.275,812.338,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-08,1854.6656687268594,1706.247,,148.158,775.638,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-09,1853.1946687268594,1690.662,,162.272,753.129,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-10,1697.4236687268594,1548.038,,149.125,739.815,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-11,1630.5406687268594,1630.28,,0.0,764.337,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-12,1860.5626687268593,1709.13,,151.172,792.579,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-13,1932.5116687268594,1733.567,,198.684,768.833,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-14,1922.0246687268593,1723.08,,198.684,801.985,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-15,1707.5606687268596,1669.505,,37.795,773.255,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-16,1884.9246687268594,1729.227,,155.437,757.227,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-17,1957.9916687268594,1781.502,,176.229,749.225,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-18,1949.8716687268595,1784.273,,165.338,764.16,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-19,2167.2496687268595,1995.478,,171.511,769.896,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-20,1969.4956687268593,1969.235,,0.0,764.12,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-21,1891.4096687268593,1890.998,,0.151,774.746,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-22,2032.3136687268595,1862.997,,169.056,754.291,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-23,1985.8226687268593,1818.763,,166.799,745.751,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-24,1895.8946687268594,1894.474,,1.16,768.136,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-25,1978.1066687268594,1971.146,,6.7,756.731,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-26,2007.3426687268595,2007.082,,0.0,753.645,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-27,1991.6106687268593,1991.35,,0.0,801.425,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-28,2133.4606687268592,1982.388,,150.812,767.015,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-29,2061.6466687268594,1912.472,,148.914,731.286,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-30,2022.2696687268594,1869.241,,152.768,736.841,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-03-31,1862.5536687268593,1862.293,,0.0,742.608,0.2606687268593513,,Patiala,,,,0.287342550719826
2020-04-01,1978.5949041753095,1949.071,,29.274,700.677,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-02,2161.5849041753095,1993.784,,167.551,686.939,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-03,2155.0149041753093,2005.402,,149.363,692.7,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-04,2160.3999041753095,1991.397,,168.753,702.104,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-05,1911.6249041753094,1911.375,,0.0,701.185,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-06,2014.4739041753094,2014.224,,0.0,693.193,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-07,2030.1369041753094,2028.756,,1.131,700.915,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-08,2184.9539041753096,2025.768,,158.936,689.193,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-09,2170.8619041753095,2031.13,,139.482,693.741,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-10,2046.0489041753094,2045.799,,0.0,703.902,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-11,2105.7919041753094,1993.556,,111.986,711.525,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-12,1962.7189041753095,1962.469,,0.0,714.371,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-13,2232.4499041753097,2072.822,,159.378,725.838,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-14,2213.8339041753097,2030.034,,183.55,746.357,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-15,2214.1059041753097,2026.945,,186.911,734.809,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-16,1966.1409041753095,1959.01,,6.881,739.11,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-17,1954.4479041753095,1948.682,,5.516,710.202,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-18,2060.6859041753096,1931.959,,128.477,724.028,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-19,2014.0479041753094,1858.415,,155.383,701.621,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-20,2008.6539041753094,2008.404,,0.0,709.034,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-21,2006.0459041753095,2005.796,,0.0,709.114,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-22,1951.6139041753095,1951.013,,0.351,709.805,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-23,2166.643904175309,1981.506,,184.888,716.33,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-24,2196.1539041753094,2012.219,,183.685,723.001,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-25,1986.2589041753095,1986.009,,0.0,716.432,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-26,2150.9579041753095,1950.687,,200.021,742.083,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-27,2221.2599041753097,2030.804,,190.206,775.205,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-28,2229.0619041753093,2026.162,,202.65,751.066,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-29,2210.8959041753096,2028.027,,182.619,737.517,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-04-30,2192.8179041753096,1993.478,,199.09,734.541,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-05-01,2072.1359041753094,1878.258,,193.628,721.086,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-05-02,1888.4759041753096,1888.226,,0.0,749.147,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-05-03,2040.9519041753094,1857.138,,183.564,751.024,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-05-04,2088.0959041753094,1905.145,,182.701,740.606,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-05-05,1900.9899041753094,1900.74,,0.0,705.802,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-05-06,2006.4769041753095,1931.494,,74.733,697.862,0.249904175309447,,Patiala,,,,0.2825610983801923
2020-05-07,1988.1829041753094,1987.929,,0.004,710.898,0.249904175309447,,Patiala,,,,0.2825610983801923
