date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,power_pm25
2020-01-01,,0.0,,0.0,351.654,,,Raurkela,,,
2020-01-02,,0.0,,0.0,369.359,,,Raurkela,,,
2020-01-03,,0.0,,11.406,390.045,,,Raurkela,,,
2020-01-04,,0.0,,48.334,382.08,,,Raurkela,,,
2020-01-05,,0.0,,79.813,356.254,,,Raurkela,,,
2020-01-06,,0.0,,31.585,345.695,,,Raurkela,,,
2020-01-07,,0.0,,93.762,348.234,,,Raurkela,,,
2020-01-08,,0.0,,0.0,361.282,,,Raurkela,,,
2020-01-09,,0.0,,0.0,389.56,,,Raurkela,,,
2020-01-10,,0.0,,72.083,356.597,,,Raurkela,,,
2020-01-11,,0.0,,69.425,352.201,,,Raurkela,,,
2020-01-12,,0.0,,77.711,348.469,,,Raurkela,,,
2020-01-13,,0.0,,0.0,333.665,,,Raurkela,,,
2020-01-14,,0.0,,33.431,339.593,,,Raurkela,,,
2020-01-15,,0.0,,142.397,355.549,,,Raurkela,,,
2020-01-16,,0.0,,79.487,356.217,,,Raurkela,,,
2020-01-17,,0.0,,68.701,349.89,,,Raurkela,,,
2020-01-18,,0.0,,44.271,354.961,,,Raurkela,,,
2020-01-19,,0.0,,18.318,367.287,,,Raurkela,,,
2020-01-20,,0.0,,111.53,353.173,,,Raurkela,,,
2020-01-21,,0.0,,103.21,342.094,,,Raurkela,,,
2020-01-22,,0.0,,39.699,346.515,,,Raurkela,,,
2020-01-23,,0.0,,20.865,357.961,,,Raurkela,,,
2020-01-24,,0.0,,13.073,329.162,,,Raurkela,,,
2020-01-25,,0.0,,92.057,329.162,,,Raurkela,,,
2020-01-26,,0.0,,73.461,329.162,,,Raurkela,,,
2020-01-27,,0.0,,52.954,329.162,,,Raurkela,,,
2020-01-28,,0.0,,0.0,349.407,,,Raurkela,,,
2020-01-29,,0.0,,46.826,367.179,,,Raurkela,,,
2020-01-30,,0.0,,85.64,351.362,,,Raurkela,,,
2020-01-31,,0.0,,77.563,329.162,,,Raurkela,,,
2020-02-01,,0.0,,77.563,333.45,,,Raurkela,,,
2020-02-02,,0.0,,69.074,329.162,,,Raurkela,,,
2020-02-03,,0.0,,105.842,332.28,,,Raurkela,,,
2020-02-04,,0.0,,0.0,366.774,,,Raurkela,,,
2020-02-05,,0.0,,99.517,362.808,,,Raurkela,,,
2020-02-06,,0.0,,88.263,353.055,,,Raurkela,,,
2020-02-07,,0.0,,0.0,388.877,,,Raurkela,,,
2020-02-08,,0.0,,0.0,400.347,,,Raurkela,,,
2020-02-09,,0.0,,77.283,344.267,,,Raurkela,,,
2020-02-10,,0.0,,93.172,336.77,,,Raurkela,,,
2020-02-11,,0.0,,105.448,336.187,,,Raurkela,,,
2020-02-12,,0.0,,85.345,340.002,,,Raurkela,,,
2020-02-13,,0.0,,79.74,336.662,,,Raurkela,,,
2020-02-14,,0.0,,0.55,330.16,,,Raurkela,,,
2020-02-15,,0.0,,0.55,331.915,,,Raurkela,,,
2020-02-16,,0.0,,103.92,333.525,,,Raurkela,,,
2020-02-17,,0.0,,83.08,329.162,,,Raurkela,,,
2020-02-18,,0.0,,73.395,329.162,,,Raurkela,,,
2020-02-19,,0.0,,102.448,329.162,,,Raurkela,,,
2020-02-20,,0.0,,89.364,344.56,,,Raurkela,,,
2020-02-21,,0.0,,90.149,341.824,,,Raurkela,,,
2020-02-22,,0.0,,125.406,336.906,,,Raurkela,,,
2020-02-23,,0.0,,0.0,338.931,,,Raurkela,,,
2020-02-24,,0.0,,0.0,363.012,,,Raurkela,,,
2020-02-25,,0.0,,11.078,391.342,,,Raurkela,,,
2020-02-26,,0.0,,77.734,347.066,,,Raurkela,,,
2020-02-27,,0.0,,94.635,337.753,,,Raurkela,,,
2020-02-28,,0.0,,84.552,339.876,,,Raurkela,,,
2020-02-29,,0.0,,0.0,348.072,,,Raurkela,,,
2020-03-01,,0.0,,2.261,348.262,,,Raurkela,,,
2020-03-02,,0.0,,1.15,351.415,,,Raurkela,,,
2020-03-03,,0.0,,101.006,357.875,,,Raurkela,,,
2020-03-04,,0.0,,98.622,361.593,,,Raurkela,,,
2020-03-05,,0.0,,97.417,370.34,,,Raurkela,,,
2020-03-06,,0.0,,0.0,376.683,,,Raurkela,,,
2020-03-07,,0.0,,54.735,386.616,,,Raurkela,,,
2020-03-08,,0.0,,90.246,357.194,,,Raurkela,,,
2020-03-09,,0.0,,70.833,336.911,,,Raurkela,,,
