date,total,power,traffic,residential_scope1,residential_scope2,industrial,aviation,city
2020-01-01,1680.035,1558.118,,121.917,513.445,,33511.29599689546,Silchar
2020-01-02,1569.912,1569.775,,0.137,514.502,,32216.525414182062,Silchar
2020-01-03,1595.846,1595.846,,0.0,545.497,,30429.116401015,Silchar
2020-01-04,1715.316,1598.693,,116.623,542.219,,33467.61417329463,Silchar
2020-01-05,1679.789,1541.071,,138.718,534.403,,35319.39914091855,Silchar
2020-01-06,1682.865,1551.984,,130.881,518.406,,31983.87902131441,Silchar
2020-01-07,1583.596,1583.596,,0.0,518.212,,31721.77474797489,Silchar
2020-01-08,1697.068,1585.757,,111.311,524.481,,34645.184555561784,Silchar
2020-01-09,1568.072,1552.417,,15.655,538.814,,12769.669402245045,Silchar
2020-01-10,1659.977,1528.282,,131.695,523.462,,33998.58082837344,Silchar
2020-01-11,1673.74,1557.276,,116.464,518.892,,32044.88937861314,Silchar
2020-01-12,1691.407,1564.591,,126.816,518.415,,36716.201907229784,Silchar
2020-01-13,1707.995,1580.399,,127.596,518.162,,33460.17732464179,Silchar
2020-01-14,1694.681,1558.025,,136.656,514.927,,34617.86751327031,Silchar
2020-01-15,1646.252,1516.492,,129.76,513.176,,34611.02638539592,Silchar
2020-01-16,1642.452,1509.932,,132.52,511.384,,33566.363489359006,Silchar
2020-01-17,1706.207,1581.868,,124.339,508.955,,33530.48286505997,Silchar
2020-01-18,1704.1090000000002,1574.267,,129.842,506.831,,30443.146734653776,Silchar
2020-01-19,1512.746,1512.746,,0.0,505.274,,39899.45424881741,Silchar
2020-01-20,1665.959,1570.816,,95.143,525.676,,30661.075035229536,Silchar
2020-01-21,1722.436,1585.908,,136.528,511.419,,32757.32702248222,Silchar
2020-01-22,1669.531,1544.231,,125.3,501.196,,26087.87355036067,Silchar
2020-01-23,1597.049,1561.955,,35.094,492.968,,32295.11679078449,Silchar
2020-01-24,1744.283,1602.981,,141.302,495.812,,29346.063924659553,Silchar
2020-01-25,1771.248,1621.789,,149.459,493.596,,33467.004638766986,Silchar
2020-01-26,1576.68,1545.759,,30.921,500.361,,41238.46482790902,Silchar
2020-01-27,1609.718,1589.489,,20.229,503.682,,33373.912044929486,Silchar
2020-01-28,1713.668,1609.759,,103.909,509.647,,33460.79644322573,Silchar
2020-01-29,1755.871,1617.625,,138.246,505.382,,34626.128742857145,Silchar
2020-01-30,1760.188,1626.159,,134.029,510.817,,33375.72569056347,Silchar
2020-01-31,1793.287,1620.404,,172.883,524.548,,32304.94852993784,Silchar
2020-02-01,1756.707,1583.824,,172.883,505.679,,32843.15947345698,Silchar
2020-02-02,1688.5970000000002,1514.592,,174.005,486.916,,39509.69049930641,Silchar
2020-02-03,1694.909,1548.104,,146.805,484.693,,32821.96424971956,Silchar
2020-02-04,1697.34,1588.613,,108.727,496.427,,33466.86185880299,Silchar
2020-02-05,1589.526,1589.526,,0.0,489.483,,33298.57865150458,Silchar
2020-02-06,1730.2050000000002,1588.776,,141.429,484.419,,30635.965863079306,Silchar
2020-02-07,1718.481,1609.907,,108.574,472.373,,34635.78085339005,Silchar
2020-02-08,1559.94,1559.94,,0.0,477.132,,33423.16664631763,Silchar
2020-02-09,1525.757,1525.757,,0.0,505.643,,41006.88711203245,Silchar
2020-02-10,1671.509,1547.533,,123.976,493.037,,34520.31577817937,Silchar
2020-02-11,1685.755,1558.367,,127.388,485.599,,28417.95987140522,Silchar
2020-02-12,1592.735,1572.696,,20.039,487.688,,27806.184419200545,Silchar
2020-02-13,1758.0929999999998,1627.37,,130.723,486.113,,27697.555239978505,Silchar
2020-02-14,1791.092,1619.245,,171.847,476.592,,26579.599877439457,Silchar
2020-02-15,1802.95,1631.103,,171.847,503.145,,22434.360787025013,Silchar
2020-02-16,1568.29,1568.29,,0.0,500.248,,33961.919230813306,Silchar
2020-02-17,1762.97,1607.068,,155.902,490.471,,27931.9139209457,Silchar
2020-02-18,1641.3590000000002,1638.758,,2.601,491.438,,37449.54651862069,Silchar
2020-02-19,1797.28,1627.952,,169.328,487.363,,34403.11117494285,Silchar
2020-02-20,1599.921,1599.921,,0.0,481.269,,33051.72302130932,Silchar
2020-02-21,1674.091,1545.911,,128.18,478.309,,28402.622813484864,Silchar
2020-02-22,1744.563,1559.004,,185.559,474.171,,32687.750946332697,Silchar
2020-02-23,1713.1329999999998,1521.436,,191.697,475.795,,28896.7835148132,Silchar
2020-02-24,1677.704,1569.097,,108.607,476.308,,30342.886756113665,Silchar
2020-02-25,1594.971,1594.971,,0.0,494.075,,28906.44542274128,Silchar
2020-02-26,1610.574,1610.574,,0.0,524.009,,26946.59231767016,Silchar
2020-02-27,1732.971,1590.022,,142.949,485.116,,24719.95908584481,Silchar
2020-02-28,1714.366,1580.735,,133.631,479.64,,25986.35230375266,Silchar
2020-02-29,1696.389,1562.758,,133.631,465.728,,23810.456162670103,Silchar
2020-03-01,1676.785,1534.368,,142.417,469.648,,29830.44873516466,Silchar
2020-03-02,1575.869,1575.869,,0.0,470.69,,20375.71534385369,Silchar
2020-03-03,1595.129,1595.129,,0.0,483.219,,17408.86933897539,Silchar
2020-03-04,1723.146,1567.815,,155.331,473.941,,18705.964214502816,Silchar
2020-03-05,1698.1090000000002,1538.284,,159.825,487.054,,22153.89352890149,Silchar
2020-03-06,1539.051,1539.051,,0.0,505.612,,25070.71667760145,Silchar
2020-03-07,1569.208,1569.208,,0.0,527.832,,25937.09459880231,Silchar
2020-03-08,1673.328,1524.086,,149.242,503.904,,32140.656814328635,Silchar
2020-03-09,1673.249,1512.515,,160.734,474.462,,29684.958455122058,Silchar
2020-03-10,1531.298,1389.747,,141.551,465.446,,27744.494852085227,Silchar
2020-03-11,1610.674,1445.289,,165.385,453.577,,26585.87109412042,Silchar
2020-03-12,1613.866,1540.638,,73.228,472.505,,32110.07569568324,Silchar
2020-03-13,1685.105,1554.527,,130.578,474.873,,32272.972317648484,Silchar
2020-03-14,1670.738,1540.16,,130.578,480.083,,26619.397224133172,Silchar
2020-03-15,1659.031,1487.5,,171.531,473.847,,28206.356673031813,Silchar
2020-03-16,1694.013,1545.148,,148.865,460.909,,28508.54201872135,Silchar
2020-03-17,1738.726,1590.898,,147.828,456.645,,21827.36008338618,Silchar
2020-03-18,1666.85,1591.409,,75.441,455.531,,29811.04660070589,Silchar
2020-03-19,1916.79,1763.462,,153.328,462.968,,28389.939456558623,Silchar
2020-03-20,1886.303,1741.184,,145.119,464.014,,22922.22009345552,Silchar
2020-03-21,1852.881,1676.778,,176.103,463.27,,22830.61646485024,Silchar
2020-03-22,1650.037,1650.037,,0.0,488.679,,35849.993330575446,Silchar
2020-03-23,1627.333,1627.131,,0.202,477.825,,24080.238710801725,Silchar
2020-03-24,1849.982,1689.764,,160.218,481.129,,29726.346612527315,Silchar
2020-03-25,1908.119,1745.786,,162.333,473.902,,0.0,Silchar
2020-03-26,1947.095,1769.479,,177.616,481.182,,0.0,Silchar
2020-03-27,1920.676,1762.43,,158.246,483.396,,0.0,Silchar
2020-03-28,1866.389,1753.282,,113.107,487.502,,0.0,Silchar
2020-03-29,1848.017,1697.953,,150.064,481.561,,902.165811976103,Silchar
2020-03-30,1815.15,1651.802,,163.348,474.378,,0.0,Silchar
2020-03-31,1794.5459999999998,1646.272,,148.274,474.093,,0.0,Silchar
2020-04-01,1887.476,1721.175,,166.301,474.439,,0.0,Silchar
2020-04-02,1762.581,1762.581,,0.0,475.953,,0.0,Silchar
2020-04-03,1926.264,1772.049,,154.215,506.714,,0.0,Silchar
2020-04-04,1910.648,1763.924,,146.724,476.203,,0.0,Silchar
2020-04-05,1852.005,1692.23,,159.775,470.709,,0.0,Silchar
2020-04-06,1937.7,1778.454,,159.246,474.661,,884.5841134466535,Silchar
2020-04-07,1967.902,1792.991,,174.911,481.189,,879.14165853634,Silchar
2020-04-08,1784.274,1784.274,,0.0,487.079,,890.551603780141,Silchar
2020-04-09,1792.054,1791.384,,0.67,480.018,,0.0,Silchar
2020-04-10,1979.423,1806.642,,172.781,478.322,,0.0,Silchar
2020-04-11,1930.552,1768.759,,161.793,480.541,,0.0,Silchar
2020-04-12,1887.79,1736.004,,151.786,477.762,,0.0,Silchar
2020-04-13,1994.45,1831.995,,162.455,482.67,,0.0,Silchar
2020-04-14,1883.641,1796.635,,87.006,492.65,,0.0,Silchar
2020-04-15,1787.998,1787.998,,0.0,494.564,,0.0,Silchar
2020-04-16,1890.752,1735.613,,155.139,506.185,,0.0,Silchar
2020-04-17,1725.526,1725.526,,0.0,523.656,,0.0,Silchar
2020-04-18,1708.011,1708.011,,0.0,521.189,,0.0,Silchar
2020-04-19,1795.473,1643.29,,152.183,516.541,,0.0,Silchar
2020-04-20,1917.047,1763.783,,153.264,511.24,,0.0,Silchar
2020-04-21,1767.428,1767.187,,0.241,531.341,,0.0,Silchar
2020-04-22,1719.403,1719.403,,0.0,517.775,,0.0,Silchar
2020-04-23,1889.818,1746.998,,142.82,509.15,,0.0,Silchar
2020-04-24,1772.229,1772.229,,0.0,518.005,,0.0,Silchar
2020-04-25,1753.005,1753.005,,0.0,520.236,,0.0,Silchar
2020-04-26,1717.951,1717.951,,0.0,502.637,,0.0,Silchar
2020-04-27,1938.282,1785.019,,153.263,510.519,,0.0,Silchar
2020-04-28,1782.254,1782.254,,0.0,505.532,,0.0,Silchar
2020-04-29,1925.029,1787.733,,137.296,522.775,,547.691436168673,Silchar
2020-04-30,1894.848,1758.203,,136.645,514.938,,0.0,Silchar
2020-05-01,1651.333,1651.333,,0.0,505.991,,0.0,Silchar
2020-05-02,1654.961,1654.961,,0.0,510.23,,0.0,Silchar
2020-05-03,1737.9920000000002,1632.631,,105.361,511.275,,0.0,Silchar
2020-05-04,1807.233,1676.327,,130.906,515.385,,0.0,Silchar
2020-05-05,1723.452,1675.697,,47.755,516.713,,0.0,Silchar
2020-05-06,1698.466,1698.466,,0.0,522.909,,0.0,Silchar
2020-05-07,1892.705,1746.277,,146.428,506.13,,0.0,Silchar
2020-05-08,1880.285,1742.601,,137.684,489.55,,797.9373818572175,Silchar
2020-05-09,1814.529,1721.55,,92.979,484.667,,0.0,Silchar
2020-05-10,1654.111,1654.111,,0.0,476.074,,547.7022136592504,Silchar
2020-05-11,1631.486,1631.486,,0.0,486.967,,0.0,Silchar
2020-05-12,1784.699,1644.489,,140.21,495.955,,0.0,Silchar
2020-05-13,1634.883,1634.883,,0.0,509.65,,0.0,Silchar
2020-05-14,1773.637,1626.291,,147.346,515.693,,0.0,Silchar
2020-05-15,1789.333,1637.511,,151.822,515.264,,0.0,Silchar
2020-05-16,1777.5410000000002,1622.507,,155.034,524.884,,0.0,Silchar
2020-05-17,1776.429,1632.475,,143.954,524.354,,0.0,Silchar
2020-05-18,1673.154,1528.262,,144.892,507.753,,0.0,Silchar
2020-05-19,1594.34,1594.34,,0.0,521.454,,0.0,Silchar
2020-05-20,1629.69,1629.69,,0.0,517.812,,0.0,Silchar
2020-05-21,1578.713,1578.713,,0.0,528.461,,0.0,Silchar
2020-05-22,1645.502,1561.048,,84.454,524.784,,0.0,Silchar
2020-05-23,1812.635,1600.871,,211.764,528.299,,0.0,Silchar
2020-05-24,1786.596,1638.244,,148.352,529.382,,0.0,Silchar
2020-05-25,1618.957,1566.92,,52.037,521.625,,0.0,Silchar
2020-05-26,1601.583,1601.583,,0.0,527.898,,5634.565957003552,Silchar
2020-05-27,1618.885,1618.885,,0.0,532.649,,5635.741474526385,Silchar
2020-05-28,1787.839,1663.513,,124.326,524.806,,0.0,Silchar
2020-05-29,1664.176,1664.176,,0.0,524.441,,5633.048856793308,Silchar
2020-05-30,1625.979,1625.979,,0.0,519.456,,0.0,Silchar
2020-05-31,1723.779,1581.981,,141.798,521.992,,0.0,Silchar
2020-06-01,1515.031,1382.604,,132.427,509.518,,18980.875343651387,Silchar
2020-06-02,1404.44,1404.44,,0.0,514.883,,6587.358555652266,Silchar
2020-06-03,1408.888,1407.935,,0.953,516.263,,17018.047087620413,Silchar
2020-06-04,1446.736,1446.736,,0.0,519.893,,9349.597686541469,Silchar
2020-06-05,1432.282,1428.906,,3.376,513.548,,3755.074778381344,Silchar
2020-06-06,1440.634,1440.634,,0.0,514.836,,9407.972590038473,Silchar
2020-06-07,1418.593,1418.593,,0.0,514.762,,9407.081092684588,Silchar
2020-06-08,1566.045,1502.192,,63.853,511.958,,15196.679339667957,Silchar
2020-06-09,1662.132,1528.972,,133.16,505.672,,15110.476197323713,Silchar
2020-06-10,1553.371,1553.371,,0.0,517.659,,16882.13280965717,Silchar
2020-06-11,1540.237,1540.237,,0.0,515.622,,3755.074778381344,Silchar
2020-06-12,1544.77,1544.77,,0.0,508.238,,9406.44949443859,Silchar
2020-06-13,1500.201,1500.201,,0.0,509.359,,16422.80274819654,Silchar
2020-06-14,1502.8490000000002,1452.314,,50.535,502.088,,6585.398039201324,Silchar
2020-06-15,1620.107,1526.096,,94.011,510.507,,15198.994062176624,Silchar
2020-06-16,1627.678,1513.349,,114.329,510.908,,16424.706990453975,Silchar
2020-06-17,1530.98,1530.98,,0.0,514.845,,17077.39401605535,Silchar
2020-06-18,1658.921,1548.498,,110.423,518.96,,16424.176540960187,Silchar
2020-06-19,1646.823,1523.646,,123.177,514.637,,9421.028794926646,Silchar
2020-06-20,1626.61,1510.032,,116.578,507.919,,17680.805912410095,Silchar
2020-06-21,1450.665,1450.665,,0.0,504.534,,9390.855815842056,Silchar
2020-06-22,1642.3860000000002,1529.044,,113.342,504.663,,15192.277440937763,Silchar
2020-06-23,1650.429,1582.787,,67.642,509.855,,16422.713603582524,Silchar
2020-06-24,1555.192,1555.192,,0.0,505.357,,17073.891615116838,Silchar
2020-06-25,1653.972,1555.962,,98.01,503.768,,14544.34106987507,Silchar
2020-06-26,1518.18,1518.18,,0.0,510.926,,9408.56933121388,Silchar
2020-06-27,1493.606,1493.606,,0.0,510.379,,16427.19060715678,Silchar
2020-06-28,1446.947,1446.947,,0.0,512.084,,9264.639002703729,Silchar
