date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25,industrial_scope2
2020-01-01,9747.83732317221,8548.549,,0.0,1837.401,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-02,10309.92432317221,8627.567,,486.314,1877.335,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-03,10356.359323172208,8794.246,,539.827,1829.727,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-04,10062.01232317221,8795.76,,0.0,1784.103,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-05,10116.02332317221,8401.382,,435.744,1744.578,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-06,10195.45232317221,8491.645,,405.13,1759.884,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-07,10368.397323172212,8653.342,,410.823,1847.512,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-08,10127.93332317221,8702.469,,133.288,1782.36,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-09,10273.53332317221,8541.296,,461.994,1740.967,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-10,9945.99832317221,8372.207,,452.608,1745.063,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-11,9845.80132317221,8592.724,,0.0,1770.172,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-12,10392.04332317221,8630.156,,497.971,1884.372,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-13,10420.43332317221,8709.005,,439.635,1878.672,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-14,10098.464323172211,8496.047,,457.751,1734.818,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-15,9389.50732317221,8220.7,,29.947,1739.887,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-16,9705.60732317221,8264.44,,232.168,1799.426,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-17,10059.07232317221,8663.09,,338.925,1858.652,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-18,10282.579323172211,8572.276,,458.893,1773.093,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-19,9885.57832317221,8180.8,,434.026,1733.554,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-20,10272.08732317221,8548.765,,426.703,1776.364,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-21,10445.83332317221,8685.808,,461.14,1840.474,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-22,10179.951323172212,8412.754,,456.87,1790.694,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-23,10174.76132317221,8545.079,,342.525,1745.914,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-24,10319.15432317221,8783.415,,426.374,1749.713,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-25,10191.35432317221,8904.876,,0.0,1738.343,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-26,10148.79732317221,8463.553,,395.702,1761.325,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-27,10506.13232317221,8720.754,,447.225,1786.485,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-28,10455.80032317221,8814.072,,278.045,1874.656,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-29,10723.182323172208,8857.069,,476.336,1754.165,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-30,10770.70332317221,8918.946,,448.819,1738.5,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-01-31,10560.633323172211,8829.256,,455.021,1737.074,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-01,10405.23632317221,8646.88,,455.021,1743.343,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-02,9835.40832317221,8201.016,,283.457,1740.297,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-03,10308.83232317221,8451.155,,520.55,1726.616,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-04,10457.13832317221,8671.843,,450.46,1736.814,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-05,10432.16832317221,8685.772,,413.08,1740.207,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-06,10439.34332317221,8651.99,,461.947,1737.684,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-07,10373.51632317221,8738.39,,482.423,1748.028,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-08,10192.487323172212,8433.922,,437.638,1746.125,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-09,10051.70232317221,8279.611,,469.48,1750.522,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-10,10286.55232317221,8437.206,,524.764,1750.957,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-11,10345.65432317221,8484.178,,513.696,1789.438,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-12,10371.26632317221,8528.291,,469.743,1800.096,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-13,10705.705323172211,8897.004,,449.989,1785.714,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-14,10452.77932317221,8821.936,,454.871,1756.001,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-15,10691.55632317221,8910.974,,454.871,1776.63,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-16,9949.89132317221,8595.055,,16.428,1828.999,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-17,10178.86832317221,8812.78,,0.0,1823.46,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-18,10885.321323172211,8996.758,,520.614,1811.055,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-19,10886.265323172212,8942.181,,578.584,1807.883,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-20,10596.68032317221,8766.869,,472.901,1764.813,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-21,9598.249323172211,8408.092,,32.607,1767.577,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-22,10287.35832317221,8518.159,,433.903,1773.062,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-23,10188.49832317221,8326.608,,479.373,1776.396,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-24,10380.83132317221,8600.348,,385.184,1752.767,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-25,10604.09532317221,8718.865,,488.127,1746.92,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-26,10705.82832317221,8821.877,,499.621,1770.726,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-27,10498.41332317221,8668.985,,446.236,1759.658,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-28,9904.14332317221,8642.975,,61.112,1809.656,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-02-29,9924.46232317221,8550.585,,173.821,1778.133,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-01,10387.77132317221,8491.949,,490.588,1803.671,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-02,10524.54032317221,8649.935,,462.12,1798.92,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-03,10184.263323172208,8737.317,,27.909,1792.997,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-04,9975.888323172208,8562.237,,2.103,1761.651,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-05,10276.62532317221,8418.16,,452.389,1797.359,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-06,10348.41332317221,8503.426,,445.078,1764.974,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-07,10106.49632317221,8625.582,,264.221,1735.725,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-08,9758.621323172212,8368.993,,8.316,1767.108,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-09,10078.517323172211,8296.47,,376.718,1787.558,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-10,9545.65432317221,7586.028,,544.586,1788.035,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-11,9794.06732317221,7822.807,,544.586,1763.073,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-12,10197.517323172211,8380.857,,381.636,1717.718,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-13,9928.06532317221,8509.918,,0.0,1714.412,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-14,9603.64632317221,8385.787,,0.0,1729.784,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-15,9446.34932317221,8074.431,,0.0,1768.271,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-16,10232.31732317221,8371.101,,444.085,1784.593,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-17,10543.69732317221,8621.893,,497.003,1826.419,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-18,10507.84232317221,8642.599,,436.715,1839.803,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-19,10944.80532317221,9518.435,,0.0,1861.269,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-20,11201.053323172211,9433.635,,358.053,1815.658,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-21,10687.89432317221,9072.817,,424.016,1828.785,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-22,10582.75332317221,8900.179,,447.633,1874.816,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-23,10004.56032317221,8749.617,,23.234,1902.732,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-24,10394.21732317221,9139.543,,0.0,1904.106,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-25,10692.90432317221,9425.21,,4.035,1917.77,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-26,11234.54732317221,9586.541,,390.632,1881.002,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-27,10744.05132317221,9522.759,,0.0,1858.926,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-28,10940.106323172211,9539.498,,444.658,1832.534,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-29,10735.21532317221,9206.932,,459.902,1845.135,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-30,10520.54232317221,8954.328,,423.126,1861.832,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-03-31,10389.36332317221,8937.397,,202.722,1852.65,3.2813231722107954,,Vadodara,,,2.5880995405654605
2020-04-01,11385.05596292297,9321.767,,798.15,1848.305,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-02,11338.20796292297,9568.468,,498.133,1875.485,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-03,11386.23296292297,9659.498,,459.281,1902.49,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-04,11110.803962922972,9603.78,,431.523,1915.626,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-05,10493.05896292297,9243.15,,0.0,1906.613,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-06,11486.901962922972,9742.116,,469.948,1902.404,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-07,11546.52896292297,9767.529,,464.57,1883.899,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-08,11498.62796292297,9771.527,,416.086,1866.002,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-09,11142.437962922972,9811.734,,0.0,1879.978,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-10,11168.39496292297,9857.339,,0.0,1911.092,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-11,11137.255962922973,9556.262,,475.138,1936.585,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-12,11238.525962922971,9400.859,,583.075,1942.649,2.906962922970553,,Vadodara,,,2.0079081923895963
2020-04-13,11635.51896292297,9950.967,,416.153,1951.365,2.906962922970553,,Vadodara,,,2.0079081923895963
