date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city
2020-01-01,266.995,0.0,,266.995,1189.314,,,Vijayawada
2020-01-02,1.817,0.0,,1.817,1222.091,,,Vijayawada
2020-01-03,290.949,0.0,,290.949,1230.167,,,Vijayawada
2020-01-04,282.316,0.0,,282.316,1232.765,,,Vijayawada
2020-01-05,254.469,0.0,,254.469,1209.729,,,Vijayawada
2020-01-06,283.058,0.0,,283.058,1177.046,,,Vijayawada
2020-01-07,288.395,0.0,,288.395,1191.608,,,Vijayawada
2020-01-08,286.385,0.0,,286.385,1182.552,,,Vijayawada
2020-01-09,266.144,0.0,,266.144,1165.144,,,Vijayawada
2020-01-10,267.626,0.0,,267.626,1187.856,,,Vijayawada
2020-01-11,257.22,0.0,,257.22,1191.857,,,Vijayawada
2020-01-12,30.262,0.0,,30.262,1153.201,,,Vijayawada
2020-01-13,215.326,0.0,,215.326,1154.364,,,Vijayawada
2020-01-14,301.486,0.0,,301.486,1161.157,,,Vijayawada
2020-01-15,245.532,0.0,,245.532,1137.882,,,Vijayawada
2020-01-16,251.508,0.0,,251.508,1153.794,,,Vijayawada
2020-01-17,269.777,0.0,,269.777,1161.229,,,Vijayawada
2020-01-18,260.571,0.0,,260.571,1174.2,,,Vijayawada
2020-01-19,258.734,0.0,,258.734,1184.096,,,Vijayawada
2020-01-20,253.197,0.0,,253.197,1170.312,,,Vijayawada
2020-01-21,259.773,0.0,,259.773,1165.206,,,Vijayawada
2020-01-22,0.0,0.0,,0.0,1166.833,,,Vijayawada
2020-01-23,263.348,0.0,,263.348,1166.132,,,Vijayawada
2020-01-24,269.07,0.0,,269.07,1171.301,,,Vijayawada
2020-01-25,266.229,0.0,,266.229,1162.904,,,Vijayawada
2020-01-26,101.494,0.0,,101.494,1157.26,,,Vijayawada
2020-01-27,256.409,0.0,,256.409,1169.601,,,Vijayawada
2020-01-28,0.02,0.0,,0.02,1161.613,,,Vijayawada
2020-01-29,255.837,0.0,,255.837,1181.615,,,Vijayawada
2020-01-30,282.852,0.0,,282.852,1190.483,,,Vijayawada
2020-01-31,247.793,0.0,,247.793,1173.832,,,Vijayawada
2020-02-01,247.793,0.0,,247.793,1162.834,,,Vijayawada
2020-02-02,260.881,0.0,,260.881,1160.298,,,Vijayawada
2020-02-03,263.084,0.0,,263.084,1169.922,,,Vijayawada
2020-02-04,270.037,0.0,,270.037,1183.951,,,Vijayawada
2020-02-05,251.744,0.0,,251.744,1153.707,,,Vijayawada
2020-02-06,256.25,0.0,,256.25,1157.735,,,Vijayawada
2020-02-07,261.355,0.0,,261.355,1156.356,,,Vijayawada
2020-02-08,263.12,0.0,,263.12,1177.889,,,Vijayawada
2020-02-09,340.391,0.0,,340.391,1174.537,,,Vijayawada
2020-02-10,110.903,0.0,,110.903,1186.102,,,Vijayawada
2020-02-11,302.265,0.0,,302.265,1173.199,,,Vijayawada
2020-02-12,287.476,0.0,,287.476,1175.693,,,Vijayawada
2020-02-13,0.0,0.0,,0.0,1145.029,,,Vijayawada
2020-02-14,261.977,0.0,,261.977,1090.589,,,Vijayawada
2020-02-15,261.977,0.0,,261.977,1112.036,,,Vijayawada
2020-02-16,235.531,0.0,,235.531,1125.045,,,Vijayawada
2020-02-17,82.361,0.0,,82.361,1135.598,,,Vijayawada
2020-02-18,271.55,0.0,,271.55,1145.25,,,Vijayawada
2020-02-19,280.718,0.0,,280.718,1159.486,,,Vijayawada
2020-02-20,293.862,0.0,,293.862,1141.445,,,Vijayawada
2020-02-21,256.607,0.0,,256.607,1119.234,,,Vijayawada
2020-02-22,271.203,0.0,,271.203,1126.288,,,Vijayawada
2020-02-23,130.436,0.0,,130.436,1145.391,,,Vijayawada
2020-02-24,289.584,0.0,,289.584,1155.733,,,Vijayawada
2020-02-25,305.793,0.0,,305.793,1175.399,,,Vijayawada
2020-02-26,308.807,0.0,,308.807,1191.518,,,Vijayawada
2020-02-27,314.677,0.0,,314.677,1179.907,,,Vijayawada
2020-02-28,295.331,0.0,,295.331,1182.339,,,Vijayawada
2020-02-29,274.662,0.0,,274.662,1146.948,,,Vijayawada
2020-03-01,275.276,0.0,,275.276,1142.292,,,Vijayawada
2020-03-02,325.423,0.0,,325.423,1159.782,,,Vijayawada
2020-03-03,280.336,0.0,,280.336,1142.066,,,Vijayawada
2020-03-04,0.0,0.0,,0.0,1159.228,,,Vijayawada
2020-03-05,287.273,0.0,,287.273,1174.838,,,Vijayawada
2020-03-06,305.027,0.0,,305.027,1197.632,,,Vijayawada
2020-03-07,0.0,0.0,,0.0,1219.283,,,Vijayawada
2020-03-08,297.702,0.0,,297.702,1181.009,,,Vijayawada
2020-03-09,282.512,0.0,,282.512,1168.555,,,Vijayawada
